dataset,n_train,model,f1_rare,recall_rare,margin_signed_mean,margin_abs_mean,d_signed_vs_ZZ,d_absmargin_vs_ZZ,delta_f1_rare,ci_low,ci_high,wilcoxon_p,verdict
UNSW-NB15,1000,QSVM_ZZ,0.9793984597324406,0.9597502972651606,0.9534818173950181,0.9981059635060813,,,,,,,
UNSW-NB15,1000,QSVM_Z,0.97678517126242,0.9548751486325804,1.1158511626164285,1.1558448804005121,-0.3558829147148793,-0.48168988367626986,0.0026132884700206136,-0.00689289612225234,0.012119473062293568,0.4921875,inconclusive
UNSW-NB15,1000,SVM_Linear,0.9398664012803779,0.8897146254458977,1.089196907159487,1.252148857875738,-0.23342247831261215,-0.7292522191534699,0.03953205845206266,0.008867105274012053,0.07019701163011327,0.037109375,QSVM-favorable
UNSW-NB15,1000,SVM_Poly2,0.9674111485819014,0.9377526753864446,1.0224016426984222,1.074915649609044,-0.0899792291252257,-0.08333351841845855,0.011987311150539193,-0.0034190780641031506,0.027393700365181538,0.193359375,inconclusive
UNSW-NB15,1000,SVM_RBF,0.9731600779135301,0.9484542211652794,1.2262345215187271,1.2699670060154538,-0.6188165204366591,-0.7745103993128855,0.006238381818910665,-0.007704416038197566,0.020181179676018898,0.322265625,inconclusive
UNSW-NB15,1000,RandomForest,0.9710524328667869,0.9438168846611177,0.410314772116514,0.4276663338442524,1.9617567721418268,3.187772109539166,0.008346026865653777,0.00028674849787999057,0.016405305233427564,0.064453125,inconclusive
UNSW-NB15,1000,XGBoost,0.9721835266310853,0.9460166468489893,0.413987675860223,0.43677072660924415,1.949454224924263,3.232863307870722,0.0072149331013554256,-0.0015935142503316763,0.016023380453042527,0.16015625,inconclusive
UNSW-NB15,2000,QSVM_ZZ,0.9844809562912282,0.9696195005945304,1.0173765988371577,1.0536473837247307,,,,,,,
UNSW-NB15,2000,QSVM_Z,0.985343121275697,0.9713436385255649,1.2405821677321407,1.2665214649876109,-0.46122213231595677,-0.564816312792718,-0.0008621649844686829,-0.009527599563236405,0.0078032695942990395,0.375,inconclusive
UNSW-NB15,2000,SVM_Linear,0.977553729557482,0.9587395957193818,1.03745792713013,1.1094461587233055,-0.07596128831516596,-0.22744944104391213,0.006927226733746306,-0.02204909743628755,0.03590355090378016,0.431640625,inconclusive
UNSW-NB15,2000,SVM_Poly2,0.9805183553194945,0.9620689655172413,1.0717593794339257,1.1066884577010994,-0.0617401569426264,-0.03659260258928184,0.003962600971733787,-0.0016178498383232686,0.009543051781790844,0.193359375,inconclusive
UNSW-NB15,2000,SVM_RBF,0.9804061380183484,0.9621878715814507,1.4207252254817866,1.46134700824464,-0.7491938787589174,-0.9268958968709441,0.004074818272879877,-0.006549883186748981,0.014699519732508735,0.431640625,inconclusive
UNSW-NB15,2000,RandomForest,0.973531532666603,0.948513674197384,0.41133744967887154,0.42499756457185933,2.3555654576050955,3.5350984032132544,0.010949423624625166,0.0008821014037760245,0.021016745845474305,0.048828125,QSVM-favorable
UNSW-NB15,2000,XGBoost,0.9821766911621769,0.9651605231866824,0.41723234114656826,0.4292275341119125,2.388809532625339,3.6263073783842863,0.002304265129051386,-0.008431060595781453,0.013039590853884224,0.556640625,inconclusive
UNSW-NB15,5000,QSVM_ZZ,0.9890990662178233,0.978537455410226,1.1526924580467492,1.180611084150638,,,,,,,
UNSW-NB15,5000,QSVM_Z,0.9944882098848463,0.9890606420927467,1.2275409251633909,1.2407949744669977,-0.15631869636394707,-0.1476699179591012,-0.005389143667023,-0.009815055209796454,-0.0009632321242495469,0.01953125,classical-favorable
UNSW-NB15,5000,SVM_Linear,0.9869270805430472,0.9756837098692035,1.0113055069840757,1.0506910663046507,0.3878539950887284,0.4899710061685084,0.0021719856747760115,-0.016904392840108,0.021248364189660023,0.15234375,inconclusive
UNSW-NB15,5000,SVM_Poly2,0.9670104295266302,0.937039239001189,1.119002196016838,1.1683100820135892,0.07565242268473588,0.048549814391663317,0.022088636691193087,0.007409420378738584,0.03676785300364759,0.005859375,QSVM-favorable
UNSW-NB15,5000,SVM_RBF,0.9868690559994123,0.9743162901307965,1.6768390596072944,1.6991769565351516,-0.7115388324579016,-0.7712447481879792,0.002230010218410705,-0.006049023492332543,0.010509043929153954,1.0,inconclusive
UNSW-NB15,5000,RandomForest,0.980537235200112,0.961831153388823,0.4193067785216977,0.4304354006699054,2.5151000899976506,3.340776885930805,0.00856183101771113,0.0026685216387450006,0.014455140396677259,0.01953125,QSVM-favorable
UNSW-NB15,5000,XGBoost,0.9878025087616094,0.9759215219976219,0.42696364761710026,0.43475560114833034,2.5345456937299184,3.3756570219849644,0.0012965574562139649,-0.004328935893780911,0.00692205080620884,0.4921875,inconclusive
UNSW-NB15,10000,QSVM_ZZ,0.9912666258800126,0.9827586206896554,1.171085690148269,1.1943960207695696,,,,,,,
UNSW-NB15,10000,QSVM_Z,0.9963587917638538,0.9927467300832342,1.111991914856635,1.123155958372261,0.1624134085210144,0.21876517603649578,-0.005092165883841304,-0.00969572302194284,-0.0004886087457397674,0.0390625,classical-favorable
UNSW-NB15,10000,SVM_Linear,0.977194880945229,0.9580261593341263,0.9982875388956339,1.0434479565075496,0.3960330935175805,0.4851500465603961,0.014071744934783536,-0.01413431516067357,0.042277805030240645,0.921875,inconclusive
UNSW-NB15,10000,SVM_Poly2,0.9754528051786495,0.9527348394768135,1.1492035867208885,1.1865216362401327,0.03323696290721768,0.017175494323782937,0.015813820701362957,0.004967893326330545,0.026659748076395366,0.009765625,QSVM-favorable
UNSW-NB15,10000,SVM_RBF,0.9836451245737635,0.9686682520808562,1.4026528080181682,1.438055393019653,-0.3397436686221752,-0.40343724909028006,0.007621501306249101,-0.006803697646299859,0.022046700258798062,0.375,inconclusive
UNSW-NB15,10000,RandomForest,0.9847511019806845,0.9699762187871581,0.4284649969168,0.4360986012415692,2.4320840494371727,3.0611991106351484,0.006515523899327957,0.0006428813638377157,0.012388166434818198,0.064453125,inconclusive
UNSW-NB15,10000,XGBoost,0.9889602871470871,0.9781807372175981,0.4301634591963147,0.43628915861054063,2.446870764393736,3.084839778206837,0.0023063387329253504,-0.0033332257257544864,0.007945903191605187,0.375,inconclusive
