run_id,model,bin,conf,acc,size
3,RandomForest,0,9.180752902537556e-36,0.0048802129547471165,2254
3,RandomForest,1,9.180752902537556e-36,0.0048802129547471165,2254
3,RandomForest,2,1.851778121170135e-15,0.005323868677905945,2254
3,RandomForest,3,1.965317503466226e-07,0.5629991126885537,2254
3,RandomForest,4,0.0013131744557719428,0.5585625554569654,2254
3,RandomForest,5,0.1222359707137197,0.7448979591836735,2254
3,RandomForest,6,0.9238022658526157,0.8624667258207631,2254
3,RandomForest,7,0.9999987746700209,0.9614019520851819,2254
3,RandomForest,8,1.0,0.9915705412599822,2254
3,RandomForest,9,1.0,0.9946855624446412,2258
3,MLP,0,0.0020028382238775856,0.08251996450754215,2254
3,MLP,1,0.0036239079459525533,0.21872227151730259,2254
3,MLP,2,0.004481143957664248,0.052795031055900624,2254
3,MLP,3,0.054375866971914814,0.20496894409937888,2254
3,MLP,4,0.27590266845965616,0.74622892635315,2254
3,MLP,5,0.5104802608345754,0.6038154392191659,2254
3,MLP,6,0.7647762342623252,0.8167701863354038,2254
3,MLP,7,0.997508230218601,0.9658385093167702,2254
3,MLP,8,0.9999971785767947,1.0,2254
3,MLP,9,0.9999995595139671,1.0,2258
3,XGBoost,0,7.239353038552691e-12,0.0,2254
3,XGBoost,1,2.957557470882026e-10,0.0044365572315882874,2254
3,XGBoost,2,9.33436740964407e-10,0.019077196095829637,2254
3,XGBoost,3,7.984543755900746e-06,0.5044365572315883,2254
3,XGBoost,4,0.004595098378727216,0.7267080745341615,2254
3,XGBoost,5,0.2288108808004145,0.6512866015971606,2254
3,XGBoost,6,0.9684297589499357,0.8456078083407276,2254
3,XGBoost,7,0.9999931236804366,0.9418811002661934,2254
3,XGBoost,8,0.9999999997852229,0.9982253771073647,2254
3,XGBoost,9,0.9999999999822183,1.0,2258
4,QSVM,0,0.007798275462767521,0.4618456078083407,2254
4,QSVM,1,0.021839452656477115,0.062111801242236024,2254
4,QSVM,2,0.02680433219192215,0.02040816326530612,2254
4,QSVM,3,0.03048622636239228,0.08207630878438332,2254
4,QSVM,4,0.07957011123811318,0.44631765749778174,2254
4,QSVM,5,0.30051570019006696,0.8220940550133097,2254
4,QSVM,6,0.7247734610821581,0.8722271517302573,2254
4,QSVM,7,0.9660058103397432,0.9463176574977817,2254
4,QSVM,8,0.9855159104265293,0.9889086069210293,2254
4,QSVM,9,0.9932033511100016,0.9893711248892826,2258
4,SVM-RBF,0,0.02180085413249567,0.1929902395740905,2254
4,SVM-RBF,1,0.042056392616930206,0.019077196095829637,2254
4,SVM-RBF,2,0.04913902484597198,0.09937888198757763,2254
4,SVM-RBF,3,0.07192119683421536,0.26796805678793256,2254
4,SVM-RBF,4,0.15632390892350545,0.7568766637089619,2254
4,SVM-RBF,5,0.30642900373101944,0.6779059449866903,2254
4,SVM-RBF,6,0.6614376767346462,0.7244897959183674,2254
4,SVM-RBF,7,0.9845107217073629,0.9698314108251996,2254
4,SVM-RBF,8,0.9998167533542385,0.997338065661047,2254
4,SVM-RBF,9,0.999917741862522,0.9858281665190434,2258
4,RandomForest,0,3.716690737870365e-52,0.018633540372670808,2254
4,RandomForest,1,3.716690737870365e-52,0.019077196095829637,2254
4,RandomForest,2,2.8363116835320143e-23,0.02129547471162378,2254
4,RandomForest,3,1.3703364583598212e-09,0.5346051464063887,2254
4,RandomForest,4,1.3719682962338108e-05,0.5252883762200532,2254
4,RandomForest,5,0.04209073702374733,0.7684117125110914,2254
4,RandomForest,6,0.9452578920788187,0.8793256433007985,2254
4,RandomForest,7,0.9999999998486383,0.9414374445430346,2254
4,RandomForest,8,1.0,0.9906832298136646,2254
4,RandomForest,9,1.0,0.9929140832595217,2258
4,MLP,0,0.0006572345702434456,0.0008873114463176575,2254
