ece_full,ece_rare,brier_full,brier_rare,auc_pr,f1,run_id,model,repr,n_features
0.18127375423225692,0.747553782176639,0.17810813764728478,0.7290500999662601,0.9618364348870325,0.8086917157084653,6,XGBoost,all122,122
0.15019181545620827,0.5081811558904687,0.16548444419752434,0.4953787701242872,0.9452629090992243,0.8292070637119113,7,RandomForest,pca4,4
0.17058340284202544,0.5308116236107904,0.18254000269703757,0.5113534510552276,0.9501076202412675,0.8185227173628674,7,XGBoost,pca4,4
0.17569772355592767,0.6583715357063757,0.18944935629762313,0.6462338607269559,0.9414952298204672,0.7918152639087018,7,RandomForest,k20,20
0.1918393562110473,0.6603185160236912,0.20114560295937783,0.6300890236128961,0.929597204334651,0.7814428412874583,7,XGBoost,k20,20
0.16654118554464564,0.7322305524814074,0.16056060701556146,0.6991826301558295,0.9679538750917106,0.816190690353047,7,RandomForest,all122,122
0.17200774893266638,0.791048535967115,0.16535712866132288,0.7793181693516651,0.951977540781021,0.81974133285432,7,XGBoost,all122,122
0.1856768878842997,0.6842828469629693,0.19368560007928787,0.6342870223417868,0.9425143732489715,0.7776554760594386,8,RandomForest,pca4,4
0.20508422985072186,0.7035922359057728,0.2037390963127762,0.6674465999657037,0.9429445663083728,0.7830617152017099,8,XGBoost,pca4,4
0.17106826085995683,0.6357636851990973,0.16992483551210408,0.5906569155390237,0.9614411590064648,0.8028393320289393,8,RandomForest,k20,20
0.17658489740045885,0.5024374737525258,0.17865401694200744,0.4694491760283869,0.9497979963343548,0.8033789432003168,8,XGBoost,k20,20
0.1832048651823445,0.7597894911609946,0.19164963280231134,0.7239640736249434,0.9610556391446107,0.7708274894810659,8,RandomForest,all122,122
0.19073501765925852,0.8300583348300773,0.19432059430365708,0.8143088916160671,0.9489476437005135,0.7905138339920948,8,XGBoost,all122,122
0.2132384271218576,0.7364069889355687,0.21885658519296403,0.7186540310019852,0.9442815945089171,0.7787199857181112,9,RandomForest,pca4,4
0.20223230409087015,0.6539705039023529,0.20638936393267296,0.6206315367878935,0.9445916911752404,0.788801831147108,9,XGBoost,pca4,4
0.22811389278984076,0.77740581677445,0.22491212633237626,0.7528035980718459,0.9629989228602462,0.7795845041227141,9,RandomForest,k20,20
0.2143672426048927,0.6901538920266891,0.219728154142696,0.6755377236239571,0.9476527071158736,0.7549259965495324,9,XGBoost,k20,20
0.2012019810778725,0.7813851222125644,0.19579963983718365,0.7561496569375428,0.9644593339093154,0.7888699497857834,9,RandomForest,all122,122
0.21399195628915657,0.8095404499163269,0.21959677061093993,0.7908326843394811,0.9438207121155339,0.7570247933884298,9,XGBoost,all122,122
0.12689481481098352,0.5691244529354688,0.1449193824982889,0.522309466454989,0.9591074670368889,0.832411269044174,10,RandomForest,pca4,4
0.13400284575411567,0.6067310332408088,0.14899098801980548,0.5731370690609399,0.9621265405008899,0.8397400501210551,10,XGBoost,pca4,4
