f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,n_train
0.8197451961485095,0.8098385379701917,0.1369805650893343,0.497653207864374,0.3848358981511313,0.8991914933577815,0.14762891998746402,0.27006138979248295,0.9150430974207027,0.936118314906211,4.0141,-0.07645,1,QSVM,500
0.8017046665246111,0.7936036195883606,0.12113661782288118,0.3953681590101661,0.5567566950498666,0.8941380395854024,0.1494550987354438,0.3818913119629144,0.8991946382376175,0.9285557133271471,2.3403,-0.04015,1,SVM-RBF,500
0.7959237228831351,0.7930269694819021,0.16083784818034905,0.5701958267641889,0.5859617352783157,0.9999998624312195,0.1776665381449629,0.5383993095951749,0.9348402567545797,0.945580378901453,8.53207,0.01648,1,RandomForest,500
0.8474189871356457,0.8337473385379702,0.10353139727555338,0.2689319721703246,0.4857334043828972,0.8037927350385464,0.12556290759519093,0.2835659094908061,0.9008066424427107,0.9349804802815374,1.20866,0.09265,1,MLP,500
0.8496881761486572,0.8428406671398154,0.13117159016479768,0.5261756874891477,0.45431128185452857,0.9999999997167056,0.153890658672354,0.44024643258038415,0.9305653522384861,0.9463689289131478,7.11048,-0.26056,1,XGBoost,500
0.814498933901919,0.8070440028388929,0.14135466359422075,0.6138755853820547,0.4841291217816368,0.9649016067377322,0.1600697845804377,0.3775395022187031,0.9002152345382666,0.9324929791402831,3.76212,-0.41924,1,QSVM,1000
0.8603478600742622,0.8415099361249113,0.10101108763489187,0.30439245559440625,0.3970891949975632,0.7905540822933368,0.13227460367616356,0.22635170840696966,0.8950894318893238,0.9270103509611404,2.20748,-0.64489,1,SVM-RBF,1000
0.8377174192442807,0.8319730305180979,0.15694971033655852,0.630242794441023,0.5704124583067395,0.9999999999682488,0.16484328487589137,0.5197529884046111,0.942325175279278,0.9511727527711837,9.76273,-1.52286,1,RandomForest,1000
0.8408987837559266,0.8288236337828248,0.10745700022027375,0.3296731033119615,0.48731607517182296,0.8451545890356504,0.1301073188698934,0.30234234207099436,0.9008608306272743,0.9362516244021972,1.15675,0.19456,1,MLP,1000
0.8267764829580303,0.8246096522356281,0.15920698236120018,0.5905048272848616,0.6371748081831033,0.9999992867638794,0.16671975414810533,0.587245683259927,0.9352066468785507,0.9509659722106808,3.33589,-0.4455,1,XGBoost,1000
