f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,mix,n_test
0.840122879658074,0.8605788830004076,0.08924305812845229,0.3128760624332711,,,0.11270166414842102,,0.8871912686837266,0.9147889613652921,1.15675,0.19456,1,MLP,DoS_only,17171
0.8188197400207063,0.8378127896200185,0.13721410558646652,0.4392014168173331,0.6333301875857014,0.99999929133689,0.15414482385824668,0.5825707740995253,0.9345812549247232,0.9374309746761216,3.33589,-0.4455,1,XGBoost,Balanced_50/50,19422
0.835487869665309,0.797294348679904,0.1951091821231645,0.6775773563908787,0.6371748081831033,0.9999992867638794,0.19294112442698833,0.587245683259927,0.9347027272032786,0.9701933242962664,3.33589,-0.4455,1,XGBoost,AttackHeavy_30/70,18332
0.8690929609253774,0.8919107798031565,0.09000989714989527,0.4280694193168741,,,0.10552532185777125,,0.9484761759625289,0.9455295028345876,3.33589,-0.4455,1,XGBoost,DoS_only,17171
0.8092689525377874,0.8330244053135619,0.12306632920019979,0.3663193774303203,0.5523005558509364,0.993649830185979,0.13575786598084413,0.46470173367804407,0.8712905693097079,0.9099357989067813,3.70763,0.21808,2,QSVM,Balanced_50/50,19422
0.8212416531312038,0.7838751909229762,0.18398925861433027,0.5517663600160267,0.5521834445526119,0.9936469943299309,0.17514831848710832,0.46481819667889496,0.8714467852992036,0.9517121758452538,3.70763,0.21808,2,QSVM,AttackHeavy_30/70,18332
0.8630849220103987,0.8895812707471901,0.06665576391577702,0.24385297232834038,,,0.09137525413985888,,0.9116827452795992,0.9256618164038259,3.70763,0.21808,2,QSVM,DoS_only,17171
0.7894619583379748,0.8053753475440223,0.12157786495161896,0.30615935462255073,0.5254923687386446,0.8863680404546185,0.14664117268802257,0.35237101980864616,0.8856320698778575,0.9041617689069366,2.3591,-0.07765,2,SVM-RBF,Balanced_50/50,19422
0.8206025097284771,0.776183722452542,0.18724021192947488,0.6097934681237751,0.5290522097964723,0.8872404107504298,0.17218392719815537,0.35577087011139197,0.8860871922095397,0.9513625158332208,2.3591,-0.07765,2,SVM-RBF,AttackHeavy_30/70,18332
0.8192407838837878,0.8463688777590123,0.08298747874790695,0.22941242506246226,,,0.12104011312157636,,0.885680254530185,0.9031396888279488,2.3591,-0.07765,2,SVM-RBF,DoS_only,17171
0.7939841089670828,0.8130985480383071,0.1625933900949668,0.6354096494616346,0.6586828335332249,0.9999875995570487,0.17516621328603807,0.6057619746542982,0.9406384412730465,0.9389834259929793,5.09411,-0.8885,2,RandomForest,Balanced_50/50,19422
0.8196359137504419,0.7773292603098407,0.21830593364518347,0.7561035688067805,0.6638917402709389,0.9999885718852922,0.21598818203096232,0.6114473416473303,0.9403300759528304,0.9709034492522166,5.09411,-0.8885,2,RandomForest,AttackHeavy_30/70,18332
0.8354888054512585,0.8622095393395842,0.11904856584994497,0.4117639221588318,,,0.12400918800131154,,0.9512907890584817,0.9434098791545846,5.09411,-0.8885,2,RandomForest,DoS_only,17171
0.8089998899768952,0.8212336525589538,0.10804024801115382,0.4410725143455242,0.5757983206904905,0.9346194519663319,0.14043618706474345,0.41071652564616457,0.8853190805038976,0.9140200727357157,1.24134,0.05868,2,MLP,Balanced_50/50,19422
0.8389600310438494,0.7962579096661575,0.15975934388274524,0.6045304226927523,0.5793645123068901,0.9336680282659948,0.16617046294675575,0.4145513488909581,0.8865253611776456,0.9554405386894845,1.24134,0.05868,2,MLP,AttackHeavy_30/70,18332
