run_id,model,threshold,f1_macro,fpr,recall_R2L,recall_U2R
1,XGBoost,0.95,0.8007592626231415,0.04201421068890948,0.25060658578856154,0.2835820895522388
2,QSVM,0.05,0.8467170760753233,0.1481824734836783,0.6662045060658579,0.7014925373134329
2,QSVM,0.1,0.8596108253839406,0.08866234167438987,0.6225303292894281,0.5223880597014925
2,QSVM,0.15,0.8551336865330688,0.079600453094429,0.6003466204506066,0.4626865671641791
2,QSVM,0.2,0.849949374516959,0.07198022860673463,0.5750433275563258,0.43283582089552236
2,QSVM,0.25,0.8445329308424071,0.0668314282772114,0.5590987868284228,0.417910447761194
2,QSVM,0.3,0.838647662083292,0.0625064360004119,0.5258232235701906,0.417910447761194
2,QSVM,0.35,0.834501063784933,0.0581814437236124,0.5084922010398614,0.373134328358209
2,QSVM,0.4,0.8296718175313846,0.05447430748635568,0.4904679376083189,0.3582089552238806
2,QSVM,0.45,0.82544069349419,0.05138502728864175,0.4811091854419411,0.3283582089552239
2,QSVM,0.5,0.8216819541827853,0.04706003501184224,0.4696707105719237,0.3283582089552239
2,QSVM,0.55,0.8166575428358206,0.042632066728452274,0.45961871750433275,0.3283582089552239
2,QSVM,0.6,0.8101391716011502,0.03995469055710019,0.4450606585788561,0.2835820895522388
2,QSVM,0.65,0.8057401894891678,0.03748326639892905,0.4322357019064125,0.2537313432835821
2,QSVM,0.7,0.7997759775896043,0.033364226135310475,0.40138648180242636,0.2537313432835821
2,QSVM,0.75,0.7893970033396082,0.030377921944187005,0.361525129982669,0.23880597014925373
2,QSVM,0.8,0.7758512092427381,0.026876737720111215,0.31299826689774696,0.23880597014925373
2,QSVM,0.85,0.7578155248176806,0.023169601482854494,0.2537261698440208,0.208955223880597
2,QSVM,0.9,0.7392261870467907,0.019668417258778704,0.19202772963604853,0.208955223880597
2,QSVM,0.95,0.7191596656991595,0.014004736896303162,0.17192374350086656,0.1791044776119403
2,SVM-RBF,0.05,0.8077373901000054,0.3160333642261353,0.9688041594454073,0.8955223880597015
2,SVM-RBF,0.1,0.8471062730121267,0.2109978375038616,0.9237435008665511,0.6716417910447762
2,SVM-RBF,0.15,0.8432659354537331,0.19318298836371126,0.8984402079722703,0.47761194029850745
2,SVM-RBF,0.2,0.8254776065568201,0.18257645968489342,0.7694974003466204,0.44776119402985076
2,SVM-RBF,0.25,0.8192030589973691,0.16991041087426628,0.702946273830156,0.34328358208955223
2,SVM-RBF,0.3,0.8132819403323868,0.15611162599114406,0.6363951473136915,0.29850746268656714
2,SVM-RBF,0.35,0.8089556528089772,0.1444753372464216,0.5934142114384748,0.29850746268656714
2,SVM-RBF,0.4,0.7996323652300181,0.13592832869941304,0.5431542461005199,0.2835820895522388
2,SVM-RBF,0.45,0.7961982833065475,0.1253218000205952,0.5074523396880416,0.26865671641791045
2,SVM-RBF,0.5,0.7946929708411195,0.11708371949335805,0.4935875216637782,0.26865671641791045
2,SVM-RBF,0.55,0.7898333443808845,0.11224384718360622,0.47383015597920275,0.2537313432835821
2,SVM-RBF,0.6,0.7789038195206623,0.10616826279476882,0.44298093587521664,0.22388059701492538
2,SVM-RBF,0.65,0.7600510010402688,0.09895994233343632,0.37157712305025997,0.208955223880597
2,SVM-RBF,0.7,0.7403935169388487,0.09072186180619915,0.28665511265164645,0.13432835820895522
2,SVM-RBF,0.75,0.7091203486618906,0.06919987642879209,0.10329289428076256,0.1044776119402985
2,SVM-RBF,0.8,0.709989320085779,0.05869632375656472,0.0949740034662045,0.08955223880597014
2,SVM-RBF,0.85,0.7096289868612042,0.04633920296570899,0.0804159445407279,0.07462686567164178
2,SVM-RBF,0.9,0.718914121961582,0.007826176500875297,0.05649913344887349,0.05970149253731343
2,SVM-RBF,0.95,0.7140479943974497,0.005560704355885079,0.04748700173310225,0.0
2,RandomForest,0.05,0.8209417192173983,0.11152301513747297,0.49566724436741766,0.29850746268656714
