run_id,model,category,n,label,mean_prob,std_prob
3,SVM-RBF,Probe,2421,1,0.85239908306025,0.23326417840290523
3,SVM-RBF,R2L,2885,1,0.4127393445555688,0.23513543064274461
3,SVM-RBF,U2R,67,1,0.4666195584238244,0.31215855260426323
3,RandomForest,Normal,9711,0,0.047104433213764674,0.19501636074034864
3,RandomForest,DoS,7460,1,0.7460646089451932,0.4181451046235984
3,RandomForest,Probe,2421,1,0.9246020396988892,0.2144710433327096
3,RandomForest,R2L,2885,1,0.2917772616720242,0.41601494096937275
3,RandomForest,U2R,67,1,0.3494879078778572,0.43720915902417856
3,MLP,Normal,9711,0,0.11155058813183655,0.2216876541422917
3,MLP,DoS,7460,1,0.7637710077648652,0.3687935563216329
3,MLP,Probe,2421,1,0.9357129601719099,0.13087421268577032
3,MLP,R2L,2885,1,0.4596382502738817,0.22540432538822375
3,MLP,U2R,67,1,0.44206615037919245,0.20307723633550717
3,XGBoost,Normal,9711,0,0.06190316058586775,0.2197449673332245
3,XGBoost,DoS,7460,1,0.7622694529177941,0.4065190035985372
3,XGBoost,Probe,2421,1,0.9305489871038009,0.21810840985851662
3,XGBoost,R2L,2885,1,0.313787408270036,0.4173594210504509
3,XGBoost,U2R,67,1,0.4348174938726302,0.43361640223810205
4,QSVM,Normal,9711,0,0.07917123699440486,0.17663777674296796
4,QSVM,DoS,7460,1,0.7625088591343592,0.3464963168240936
4,QSVM,Probe,2421,1,0.7451638928575152,0.327508789000402
4,QSVM,R2L,2885,1,0.361493547454295,0.37245841745302777
4,QSVM,U2R,67,1,0.351845420976051,0.3507870643699345
4,SVM-RBF,Normal,9711,0,0.11749473129329752,0.17786405099299837
4,SVM-RBF,DoS,7460,1,0.7053904648306321,0.40091293828926455
4,SVM-RBF,Probe,2421,1,0.8620392489062995,0.27426531738111426
4,SVM-RBF,R2L,2885,1,0.4047292634843711,0.2702933981810865
4,SVM-RBF,U2R,67,1,0.34884779489065254,0.27234228840259883
4,RandomForest,Normal,9711,0,0.046684714598687664,0.2025463590612953
4,RandomForest,DoS,7460,1,0.7290067068145686,0.43228305221901797
4,RandomForest,Probe,2421,1,0.9827457570388956,0.11064160179906533
4,RandomForest,R2L,2885,1,0.24215146674068327,0.4174348782488741
4,RandomForest,U2R,67,1,0.32738778011307323,0.43834888442190956
4,MLP,Normal,9711,0,0.11472137337754201,0.23486969729582297
4,MLP,DoS,7460,1,0.7544807711299969,0.38410967130710744
4,MLP,Probe,2421,1,0.9684290573789578,0.09348586963195633
4,MLP,R2L,2885,1,0.43680087764739495,0.3048688858560897
4,MLP,U2R,67,1,0.36195017888986913,0.2767477185028216
4,XGBoost,Normal,9711,0,0.060140967330606726,0.2332487071284219
4,XGBoost,DoS,7460,1,0.7573315566730086,0.42594434982133916
4,XGBoost,Probe,2421,1,0.979840130587923,0.13506371606296247
4,XGBoost,R2L,2885,1,0.2728254173605504,0.4406291285335994
4,XGBoost,U2R,67,1,0.3929727145634999,0.48025086148727997
5,QSVM,Normal,9711,0,0.10264415143155942,0.19741175790534762
5,QSVM,DoS,7460,1,0.7805996468513045,0.3247296842437785
5,QSVM,Probe,2421,1,0.6940496684689145,0.347989111158002
5,QSVM,R2L,2885,1,0.4716535011360669,0.37951298586429133
5,QSVM,U2R,67,1,0.4405155877787363,0.3627512081504845
5,SVM-RBF,Normal,9711,0,0.15088524758475702,0.20655282872624323
5,SVM-RBF,DoS,7460,1,0.7454068430592027,0.3573005759204251
5,SVM-RBF,Probe,2421,1,0.7859615584145967,0.31912373656896104
5,SVM-RBF,R2L,2885,1,0.4785598231614255,0.2518472889792045
5,SVM-RBF,U2R,67,1,0.44656618051366415,0.26689809589344554
5,RandomForest,Normal,9711,0,0.07336323907173713,0.24810713758723268
5,RandomForest,DoS,7460,1,0.7289091301319294,0.43839981694972635
5,RandomForest,Probe,2421,1,0.8643254750070872,0.3253868420703561
5,RandomForest,R2L,2885,1,0.28309690163964624,0.43217047135316367
5,RandomForest,U2R,67,1,0.29952220325203976,0.43786070998697557
5,MLP,Normal,9711,0,0.11424210699098222,0.2106991939590052
5,MLP,DoS,7460,1,0.7746702431902137,0.3571690779782297
5,MLP,Probe,2421,1,0.920285624336418,0.14879079235507908
5,MLP,R2L,2885,1,0.47452810688103975,0.1904253862103144
5,MLP,U2R,67,1,0.3944329665947293,0.15522894642883506
5,XGBoost,Normal,9711,0,0.07397008778427956,0.2434919556737426
5,XGBoost,DoS,7460,1,0.7270604325657338,0.4355451615670667
5,XGBoost,Probe,2421,1,0.9163955122339321,0.2566582918149548
5,XGBoost,R2L,2885,1,0.29243421525652386,0.4159111160761655
5,XGBoost,U2R,67,1,0.3276002641205577,0.43198765937999034
6,QSVM,Normal,9711,0,0.12180879071087589,0.22473479230121077
6,QSVM,DoS,7460,1,0.7325007284729315,0.3637108967408826
6,QSVM,Probe,2421,1,0.694759144025438,0.3533815146651306
6,QSVM,R2L,2885,1,0.45706022913998223,0.333829939365088
6,QSVM,U2R,67,1,0.38757474297265254,0.33948160576380804
6,SVM-RBF,Normal,9711,0,0.1608057589589454,0.2397945999978586
6,SVM-RBF,DoS,7460,1,0.7528132392271778,0.36195386043173755
6,SVM-RBF,Probe,2421,1,0.8075670477136261,0.3069672335002281
6,SVM-RBF,R2L,2885,1,0.5510689102488279,0.23510923501300945
6,SVM-RBF,U2R,67,1,0.3197947610719023,0.2807910075280523
6,RandomForest,Normal,9711,0,0.08133240934062588,0.261865347440749
6,RandomForest,DoS,7460,1,0.7508415219357124,0.4237207248777319
6,RandomForest,Probe,2421,1,0.8722840881493504,0.32317445013380564
6,RandomForest,R2L,2885,1,0.3533275296053579,0.4344422070041544
6,RandomForest,U2R,67,1,0.23659021600516905,0.4099938272851556
6,MLP,Normal,9711,0,0.12447511500732529,0.23380554297466086
6,MLP,DoS,7460,1,0.781245015038374,0.3503591920135195
6,MLP,Probe,2421,1,0.878169145662235,0.20233798596650526
6,MLP,R2L,2885,1,0.46212483656645575,0.21394308153719646
6,MLP,U2R,67,1,0.355397079348382,0.1804761579563221
6,XGBoost,Normal,9711,0,0.10254754499277108,0.2944728856510226
6,XGBoost,DoS,7460,1,0.7886029170671911,0.39919842277364365
6,XGBoost,Probe,2421,1,0.9198435462520377,0.26312694912226775
6,XGBoost,R2L,2885,1,0.5115962124234483,0.47930414240843633
6,XGBoost,U2R,67,1,0.28409663356693554,0.4245959563082501
7,QSVM,Normal,9711,0,0.10934869592446883,0.22487838887202663
7,QSVM,DoS,7460,1,0.7845403545189449,0.3199288352205561
7,QSVM,Probe,2421,1,0.7415766399939858,0.3246253039675602
7,QSVM,R2L,2885,1,0.4280480964295164,0.3523996990590082
7,QSVM,U2R,67,1,0.4260059201931771,0.3492450146619145
7,SVM-RBF,Normal,9711,0,0.14026639131526292,0.2140146333920148
7,SVM-RBF,DoS,7460,1,0.7305881384947068,0.3757452452240775
7,SVM-RBF,Probe,2421,1,0.8553135964641907,0.27290580016558086
7,SVM-RBF,R2L,2885,1,0.5311729555100463,0.22587659968834117
7,SVM-RBF,U2R,67,1,0.3466560699103665,0.2750065384430616
7,RandomForest,Normal,9711,0,0.07162419957523149,0.25181283744882593
7,RandomForest,DoS,7460,1,0.7893851990932989,0.39346852687496015
7,RandomForest,Probe,2421,1,0.9410813119703054,0.21167497201088087
