run_id,model,calibrator,category,mean_prob
3,SVM-RBF,temperature,R2L,0.38114249143208945
3,SVM-RBF,temperature,U2R,0.43962101087694155
3,RandomForest,platt,Normal,0.0471044332137645
3,RandomForest,platt,DoS,0.7460646089451928
3,RandomForest,platt,Probe,0.9246020396988884
3,RandomForest,platt,R2L,0.2917772616720234
3,RandomForest,platt,U2R,0.3494879078778563
3,RandomForest,isotonic,Normal,0.04874809339522395
3,RandomForest,isotonic,DoS,0.7493724029419596
3,RandomForest,isotonic,Probe,0.9324207852349852
3,RandomForest,isotonic,R2L,0.30017898358879386
3,RandomForest,isotonic,U2R,0.3586059239546705
3,RandomForest,temperature,Normal,0.05970404886003808
3,RandomForest,temperature,DoS,0.7653944358944761
3,RandomForest,temperature,Probe,0.9522038988582746
3,RandomForest,temperature,R2L,0.3514214373018584
3,RandomForest,temperature,U2R,0.4123600009256392
3,MLP,platt,Normal,0.11155058813183655
3,MLP,platt,DoS,0.7637710077648652
3,MLP,platt,Probe,0.9357129601719099
3,MLP,platt,R2L,0.4596382502738817
3,MLP,platt,U2R,0.44206615037919245
3,MLP,isotonic,Normal,0.10702527732703662
3,MLP,isotonic,DoS,0.7575612439862927
3,MLP,isotonic,Probe,0.953007936051437
3,MLP,isotonic,R2L,0.40716953041353465
3,MLP,isotonic,U2R,0.4121768678135594
3,MLP,temperature,Normal,0.120169666238823
3,MLP,temperature,DoS,0.7713680645699554
3,MLP,temperature,Probe,0.9423892578912988
3,MLP,temperature,R2L,0.49300167698739317
3,MLP,temperature,U2R,0.47670965895073414
3,XGBoost,platt,Normal,0.06190316058586775
3,XGBoost,platt,DoS,0.7622694529177941
3,XGBoost,platt,Probe,0.9305489871038009
3,XGBoost,platt,R2L,0.313787408270036
3,XGBoost,platt,U2R,0.4348174938726302
3,XGBoost,isotonic,Normal,0.06249845430900377
3,XGBoost,isotonic,DoS,0.7631352587260539
3,XGBoost,isotonic,Probe,0.9345548340260833
3,XGBoost,isotonic,R2L,0.32900188047447293
3,XGBoost,isotonic,U2R,0.4434774959959379
3,XGBoost,temperature,Normal,0.07365678869685059
3,XGBoost,temperature,DoS,0.776851854438944
3,XGBoost,temperature,Probe,0.9433431718240136
3,XGBoost,temperature,R2L,0.3614723642882459
3,XGBoost,temperature,U2R,0.48313223976208786
4,QSVM,platt,Normal,0.07917123699440486
4,QSVM,platt,DoS,0.7625088591343592
4,QSVM,platt,Probe,0.7451638928575152
4,QSVM,platt,R2L,0.361493547454295
4,QSVM,platt,U2R,0.351845420976051
4,QSVM,isotonic,Normal,0.07774941585645144
4,QSVM,isotonic,DoS,0.7703908024839107
4,QSVM,isotonic,Probe,0.7472146003896155
4,QSVM,isotonic,R2L,0.38844837776768576
4,QSVM,isotonic,U2R,0.3874736235364643
4,QSVM,temperature,Normal,0.07529568877592614
4,QSVM,temperature,DoS,0.7559655281710734
4,QSVM,temperature,Probe,0.7363460177932986
4,QSVM,temperature,R2L,0.35214517378148813
4,QSVM,temperature,U2R,0.34132965178122066
4,SVM-RBF,platt,Normal,0.11749473129329752
4,SVM-RBF,platt,DoS,0.7053904648306321
4,SVM-RBF,platt,Probe,0.8620392489062995
4,SVM-RBF,platt,R2L,0.4047292634843711
4,SVM-RBF,platt,U2R,0.34884779489065254
4,SVM-RBF,isotonic,Normal,0.10269077716264624
4,SVM-RBF,isotonic,DoS,0.7118473286103294
4,SVM-RBF,isotonic,Probe,0.8833856988044428
4,SVM-RBF,isotonic,R2L,0.4140129064997801
4,SVM-RBF,isotonic,U2R,0.35800003086355536
4,SVM-RBF,temperature,Normal,0.14437188036713683
4,SVM-RBF,temperature,DoS,0.7232949834422503
4,SVM-RBF,temperature,Probe,0.8786140922213586
4,SVM-RBF,temperature,R2L,0.46919063263698346
4,SVM-RBF,temperature,U2R,0.4073825953936687
4,RandomForest,platt,Normal,0.046684714598687664
4,RandomForest,platt,DoS,0.7290067068145686
4,RandomForest,platt,Probe,0.9827457570388956
4,RandomForest,platt,R2L,0.24215146674068327
4,RandomForest,platt,U2R,0.32738778011307323
4,RandomForest,isotonic,Normal,0.047419136543048496
4,RandomForest,isotonic,DoS,0.7283168324992385
4,RandomForest,isotonic,Probe,0.9823708668439345
4,RandomForest,isotonic,R2L,0.24349520342515335
4,RandomForest,isotonic,U2R,0.3277186869815261
4,RandomForest,temperature,Normal,0.04769728068528406
4,RandomForest,temperature,DoS,0.7372549814273062
4,RandomForest,temperature,Probe,0.9873246020024106
4,RandomForest,temperature,R2L,0.24520609640141355
4,RandomForest,temperature,U2R,0.3556658062382852
4,MLP,platt,Normal,0.11472137337754201
4,MLP,platt,DoS,0.7544807711299969
4,MLP,platt,Probe,0.9684290573789578
4,MLP,platt,R2L,0.43680087764739495
4,MLP,platt,U2R,0.36195017888986913
4,MLP,isotonic,Normal,0.10903954410580308
4,MLP,isotonic,DoS,0.7518792071603925
4,MLP,isotonic,Probe,0.9745999900597406
4,MLP,isotonic,R2L,0.4172854257502955
4,MLP,isotonic,U2R,0.3290167361935519
4,MLP,temperature,Normal,0.10933426345596574
4,MLP,temperature,DoS,0.7502327150736328
4,MLP,temperature,Probe,0.9655232886668259
4,MLP,temperature,R2L,0.41862595592634777
4,MLP,temperature,U2R,0.34385677276732374
4,XGBoost,platt,Normal,0.060140967330606726
4,XGBoost,platt,DoS,0.7573315566730086
4,XGBoost,platt,Probe,0.979840130587923
4,XGBoost,platt,R2L,0.2728254173605504
4,XGBoost,platt,U2R,0.3929727145634999
4,XGBoost,isotonic,Normal,0.05878336056734399
4,XGBoost,isotonic,DoS,0.7555125079290437
4,XGBoost,isotonic,Probe,0.978795013605063
4,XGBoost,isotonic,R2L,0.26905683679671233
4,XGBoost,isotonic,U2R,0.3896515848909551
4,XGBoost,temperature,Normal,0.05895166126613183
4,XGBoost,temperature,DoS,0.7559529957022623
4,XGBoost,temperature,Probe,0.9789369191363959
4,XGBoost,temperature,R2L,0.27038127331910694
4,XGBoost,temperature,U2R,0.38827571526587323
5,QSVM,platt,Normal,0.10264415143155944
5,QSVM,platt,DoS,0.7805996468513046
5,QSVM,platt,Probe,0.6940496684689145
5,QSVM,platt,R2L,0.4716535011360669
5,QSVM,platt,U2R,0.4405155877787363
5,QSVM,isotonic,Normal,0.10298941918943319
5,QSVM,isotonic,DoS,0.784794542606267
5,QSVM,isotonic,Probe,0.7113027293758164
5,QSVM,isotonic,R2L,0.5017255423748702
5,QSVM,isotonic,U2R,0.4781002831940346
5,QSVM,temperature,Normal,0.11118969005877943
5,QSVM,temperature,DoS,0.790051908270565
5,QSVM,temperature,Probe,0.7074428870135081
5,QSVM,temperature,R2L,0.48759468536538986
5,QSVM,temperature,U2R,0.45780283797825216
5,SVM-RBF,platt,Normal,0.15088524758475702
5,SVM-RBF,platt,DoS,0.7454068430592027
5,SVM-RBF,platt,Probe,0.7859615584145967
5,SVM-RBF,platt,R2L,0.4785598231614255
5,SVM-RBF,platt,U2R,0.44656618051366415
5,SVM-RBF,isotonic,Normal,0.13874938490836553
5,SVM-RBF,isotonic,DoS,0.7424407333125561
5,SVM-RBF,isotonic,Probe,0.781965242521748
5,SVM-RBF,isotonic,R2L,0.4738785024650013
5,SVM-RBF,isotonic,U2R,0.4531957675791873
5,SVM-RBF,temperature,Normal,0.1684218323756261
5,SVM-RBF,temperature,DoS,0.7597972232314903
5,SVM-RBF,temperature,Probe,0.8018536188573272
5,SVM-RBF,temperature,R2L,0.5215980291673014
5,SVM-RBF,temperature,U2R,0.48704456725388956
5,RandomForest,platt,Normal,0.07336323907173713
5,RandomForest,platt,DoS,0.7289091301319294
5,RandomForest,platt,Probe,0.8643254750070872
5,RandomForest,platt,R2L,0.28309690163964624
5,RandomForest,platt,U2R,0.29952220325203976
5,RandomForest,isotonic,Normal,0.0670076679186231
5,RandomForest,isotonic,DoS,0.7292865750142127
5,RandomForest,isotonic,Probe,0.8676614147035974
