ece_full,ece_rare,brier_full,brier_rare,auc_pr,run_id,model,calibrator,temperature
0.11416482265168322,0.5407605744866009,0.1372018333519121,0.34301882652024057,0.9401804651414881,3,MLP,platt,
0.12633835138045196,0.5927168206685108,0.14934317961287294,0.41707105850877807,0.9230248740227163,3,MLP,isotonic,
0.1029163201759063,0.5073680944246854,0.1324419555148751,0.3078716806648865,0.940180465141488,3,MLP,temperature,0.8369237448150718
0.1337911018548472,0.6026716144417279,0.149134561419487,0.4755266010761261,0.9537426304178638,3,XGBoost,none,
0.1854910441811218,0.6834656351800404,0.18552428021390235,0.6419530692524744,0.9537426304178638,3,XGBoost,platt,
0.1827107154108537,0.6683999263548164,0.18341292718323732,0.6218306405048158,0.8609051755041721,3,XGBoost,isotonic,
0.17033542996576725,0.6357663851505253,0.1731054697587624,0.5762508793130371,0.9496848741944723,3,XGBoost,temperature,0.3487278730575526
0.23067489845545178,0.5890692801084602,0.15879575466315896,0.3903703234733224,0.9269213969234273,4,QSVM,none,
0.1614718848621118,0.6387254310260717,0.16456580018603545,0.5463417757943877,0.9269213969234273,4,QSVM,platt,
0.1547733393323302,0.6115737457192695,0.15217571299144955,0.4964347628727154,0.9217084365477523,4,QSVM,isotonic,
0.16604901214532933,0.648100300464453,0.16788489484898708,0.5571815851660912,0.9269213969234273,4,QSVM,temperature,0.29955472448779935
0.1146498136994257,0.5052747974889387,0.13906732920105858,0.285521429834979,0.9273665936319588,4,SVM-RBF,none,
0.1506542337432579,0.5965390489803236,0.16778083456871876,0.42901185856998153,0.9273665936319588,4,SVM-RBF,platt,
0.15020782671288174,0.5872583884418281,0.15474275977453095,0.40463265056198217,0.913887399358003,4,SVM-RBF,isotonic,
0.12975596544273707,0.532212192056547,0.15537453875296825,0.35531087395497213,0.9273665936319588,4,SVM-RBF,temperature,0.4744252935893452
0.1480805752750178,0.6574616218383018,0.14564525682173923,0.5261352604637297,0.9491660445275785,4,RandomForest,none,
0.19857646557393657,0.7559139692362984,0.20380836959197843,0.7462251775562809,0.9483109894645527,4,RandomForest,platt,
0.1959942769715952,0.7545932202204169,0.20293623187682666,0.7431882247895081,0.8394165707410671,4,RandomForest,isotonic,
0.2049465293206174,0.7522868573387388,0.20577367404766087,0.7495807974587835,0.8371930602838957,4,RandomForest,temperature,0.026036587514285035
0.1211448051666273,0.5746656436448526,0.14810865155237934,0.4067549066778329,0.9393950017799294,4,MLP,none,
0.12805824468755048,0.5648979695127522,0.1531701040873777,0.41180780971037795,0.9393950017799294,4,MLP,platt,
0.13736513791226512,0.5847179625289394,0.15696196287902242,0.44498011869628673,0.9261129128419952,4,MLP,isotonic,
0.1318143856733583,0.5830710411168957,0.1558113839535214,0.43107065193689353,0.9394202746024564,4,MLP,temperature,0.8212273323996168
0.15745061883100597,0.6989732795100921,0.16585390269756317,0.6193013191223145,0.9530923643489356,4,XGBoost,none,
0.19328957366280558,0.7244476622761036,0.20081506013273182,0.7201267635075362,0.9427217792278204,4,XGBoost,platt,
0.19668271283249608,0.7282060872810945,0.20119200624168768,0.7231967043053198,0.8297522461964032,4,XGBoost,isotonic,
0.19467619209101197,0.7269429381949738,0.20112756832385514,0.7224765938567596,0.8526714805058057,4,XGBoost,temperature,0.09147598136016855
0.1838941136232004,0.4948700641510186,0.14403089771945232,0.28156710203890073,0.938824894601497,5,QSVM,none,
