f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,test_set,n_test,n_rare
0.7922752934850793,0.7943577004968062,0.12805824468755048,0.5148487137699853,0.5648979695127522,0.9485229108919208,0.1531701040873777,0.41180780971037795,0.9213996932449642,0.9393950017799294,1.22382,0.12056,4,MLP,full_kddtest_plus,22544,2952
0.7939906441165887,0.7968417317246274,0.19328957366280558,0.6774622887275302,0.7244476622761036,1.0,0.20081506013273182,0.7201267635075362,0.9380683976858748,0.9427217792278204,10.97062,0.57026,4,XGBoost,full_kddtest_plus,22544,2952
0.7391304347826086,0.76,0.1921039307861004,0.7366355232239462,0.6747911225939968,0.9986828376969814,0.18780047576598638,0.5791104367926776,0.8559253246753248,0.9146200533231683,3.35189,0.10434,4,QSVM,sample100_cu,100,10
0.75,0.76,0.17426657637659457,0.6684631540541182,0.6787672270909108,0.8596050862854354,0.17198719174172972,0.5199894838030664,0.9379058441558442,0.948803820938232,2.05636,-0.37767,4,SVM-RBF,sample100_cu,100,10
0.8,0.81,0.18975737800456227,0.7741703081401408,0.7884389574618292,0.9999999999667603,0.18864949747963342,0.77621698547862,0.9421672077922078,0.9550282461381312,8.53079,-0.56444,4,RandomForest,sample100_cu,100,10
0.75,0.76,0.1648656003577401,0.7718410706216186,0.63556268405342,0.9581234164694683,0.17721004162809983,0.48166523601135597,0.9180194805194805,0.9355106581353246,1.22382,0.12056,4,MLP,sample100_cu,100,10
0.7789473684210526,0.79,0.20577484542827446,0.7934271575472384,0.8999317774301061,1.0,0.2111939842541829,0.8996698441945192,0.9306006493506493,0.9184081202211558,10.97062,0.57026,4,XGBoost,sample100_cu,100,10
0.8001928386729193,0.7977732434350603,0.13595646590908328,0.5519852695755361,0.5290532197971788,0.9565295231660279,0.15068189191204387,0.42366654015998684,0.9155773641934604,0.938824894601497,3.12618,-0.14873,5,QSVM,full_kddtest_plus,22544,2952
0.8052988030838694,0.7972409510290986,0.11778574694526188,0.4625897599992845,0.5221663198119486,0.8451417224785671,0.1517691932598436,0.33628463076248194,0.8960958251562576,0.9293487221290408,2.07137,-0.22991,5,SVM-RBF,full_kddtest_plus,22544,2952
0.7652639702210722,0.7706263307310149,0.22347113649249734,0.7102921027718112,0.7165303018806687,0.9999999986477811,0.22179952986084928,0.7003053372492073,0.9375568517549047,0.9469499174747302,9.77341,-0.77286,5,RandomForest,full_kddtest_plus,22544,2952
0.8201142268218319,0.8141855926188787,0.10777468007198868,0.44613745001418575,0.5272897706254585,0.7681609779812335,0.12795788168534217,0.31416250755220293,0.8957581861451684,0.9372633027537469,1.14976,-0.11714,5,MLP,full_kddtest_plus,22544,2952
0.7741703390592679,0.777235628105039,0.21248691992561752,0.6727325708740173,0.7067676393254915,0.9999910118105628,0.21124938688315506,0.6728393651219724,0.9370825667205764,0.9503600843889548,3.72938,-0.79999,5,XGBoost,full_kddtest_plus,22544,2952
0.7878787878787878,0.79,0.13848467302449557,0.7767910671602056,0.42552474267893164,0.9486927432767337,0.15183393638875972,0.3444365746253194,0.935064935064935,0.9511404246865123,3.12618,-0.14873,5,QSVM,sample100_cu,100,10
0.8113207547169812,0.8,0.16443950936096702,0.6179417216501635,0.5091619565649163,0.8383012109722918,0.15263732795551216,0.31976908032199763,0.8725649350649349,0.9188970382332228,2.07137,-0.22991,5,SVM-RBF,sample100_cu,100,10
0.75,0.76,0.23089067241200398,0.699999959075726,0.7927714451876888,0.9999999999900759,0.22803094953570746,0.7832200014197976,0.932426948051948,0.945194494911187,9.77341,-0.77286,5,RandomForest,sample100_cu,100,10
0.7755102040816326,0.78,0.1297186294751214,0.6964462590511995,0.5802715093732442,0.7524703958400917,0.1552802991757021,0.35822227652406785,0.8388798701298701,0.9100154798898387,1.14976,-0.11714,5,MLP,sample100_cu,100,10
0.7659574468085106,0.78,0.19724520394493625,0.6641098992496206,0.6951238220598764,0.9999999514662581,0.20575210246628958,0.6868135803156125,0.9249188311688311,0.9456702317259094,3.72938,-0.79999,5,XGBoost,sample100_cu,100,10
0.7445490016066101,0.7531493967352733,0.14604647087285721,0.5081653163080828,0.5445168465962004,0.9622185816537695,0.17245908236985252,0.40813448898536775,0.8775221247757696,0.9178385368674031,3.26577,0.19488,6,QSVM,full_kddtest_plus,22544,2952
0.839801716841978,0.8236781405251952,0.12708324102340446,0.45671636781803615,0.454180198150513,0.8145300917886693,0.14804988497901897,0.2632773279839495,0.8728733755490826,0.9182551501082985,2.07078,-0.5772,6,SVM-RBF,full_kddtest_plus,22544,2952
0.8031912587260981,0.7986603974449965,0.20542880045630282,0.6428474778162517,0.6493219961436979,0.9999999999851786,0.20521053580404774,0.6101927935607367,0.9266204716606027,0.9380538250132237,12.23402,-2.14396,6,RandomForest,full_kddtest_plus,22544,2952
