feature,f_score,f_pvalue,mi_binary,mi_category,rank_f,rank_mi,rank_shift
service_vmnet,716.2182590848403,2.4585565713473516e-157,0.003935767230408338,0.004403601688685033,43,53,-10
service_ctf,652.9269117865754,1.2018816992675197e-143,0.005331106205077596,0.00497167956718636,44,42,2
service_csnet_ns,631.855949223789,4.35726269789312e-139,0.004710087898204041,0.005318439488580573,45,49,-4
service_supdup,630.6856662401124,7.806738403140649e-139,0.003169674503964437,0.0041508343628429145,46,65,-19
service_discard,623.6651858803532,2.5811081612178695e-137,0.0033088741572426805,0.0021159970516659854,47,61,-14
service_http_443,614.3067886033247,2.737009361642234e-135,0.004485128417247353,0.006724614309210786,48,50,-2
service_daytime,603.7816589037725,5.1940341811446075e-133,0.0033839041341940934,0.0038743437863639762,49,60,-11
service_gopher,600.2739364029686,2.9842087992171466e-132,0.005259002145480807,0.005315241065460441,50,43,7
service_efs,561.7135976839269,6.667469524986311e-124,0.002778190590245977,0.003260844072676683,51,70,-19
service_systat,552.3722258258376,7.032284150725406e-122,0.0030939634979318953,0.004156736614521428,52,66,-14
service_link,550.0372453944951,2.2533807621086038e-121,0.0007565614632336626,0.0014119968768868674,53,97,-44
service_exec,548.8698835708947,4.033488353077663e-121,0.003652712092302668,0.004520794354569979,54,57,-3
service_hostnames,532.5302942576153,1.3967662428541292e-117,0.002863417226337539,0.003353676469022737,55,69,-14
service_name,522.0304904154168,2.6297436944328187e-115,0.003735241031490588,0.0027125787268000856,56,56,0
service_urp_i,517.5204326808364,2.4951976290582188e-114,0.002126246141614274,0.0023486975952655698,57,77,-20
service_mtp,508.0357312830904,2.8334579935350197e-112,0.0025436652825292505,0.003831554162175621,58,73,-15
service_domain,504.74175758624136,1.4659919682084295e-111,0.004767598234032722,0.005958832774596523,59,48,11
service_echo,502.2062885604508,5.1951112905323016e-111,0.002550282687329819,0.0040194223759617564,60,72,-12
service_klogin,501.04050522869477,9.294758390100669e-111,0.001927354818535676,0.0032506180370917015,61,78,-17
service_login,496.3778653423788,9.522239934721967e-110,0.002965319255397336,0.004357613124586823,62,67,-5
dst_host_srv_diff_host_rate,491.04331545498115,1.3643549973746035e-108,0.18598249530526978,0.2583569161428274,63,17,46
service_ldap,474.23894719328746,5.991335368972087e-105,0.003778495389802128,0.004087342273993766,64,54,10
service_netbios_dgm,468.4153024732888,1.0966295163196565e-103,0.0021912840147892965,0.0021770609194988744,65,75,-10
service_time,464.1972727574619,9.006667049526007e-103,9.827158379493994e-05,0.0019847656884026676,66,104,-38
service_sunrpc,440.47580582399274,1.2545405174765075e-97,0.0021763519337461013,0.002610888958847646,67,76,-9
service_netbios_ssn,418.3733389791535,7.811932673474005e-93,0.0018364283382612534,0.002182801752323993,68,81,-13
service_netstat,416.04760156780293,2.4964312199769997e-92,0.0023724629767896133,0.0028716874942342763,69,74,-5
service_netbios_ns,400.93423792445645,4.747961857770985e-89,0.0025804698205691423,0.0019425788171383296,70,71,-1
service_finger,369.46546159320235,3.2109833040197026e-82,0.0017414315795800661,0.004428147391178694,71,83,-12
protocol_type_tcp,356.51896660488194,2.077482313480528e-79,0.006389341096563861,0.04692032511850108,72,38,34
service_kshell,345.1893012280433,5.9960265141292785e-77,0.0029379436799166214,0.003111767655607167,73,68,5
service_nntp,341.70829582798973,3.4188597188263203e-76,0.0031929661087333194,0.002778568044307761,74,63,11
service_ssh,337.7843566048422,2.4330368094693336e-75,0.0008727866138453777,0.0015390480365828907,75,92,-17
service_auth,320.41236248933797,1.4453282646982977e-71,0.0018738922102188305,0.0033825548752193235,76,79,-3
flag_S1,304.5970240679226,3.950212228739283e-68,0.003956278972609084,0.003177330564436698,77,52,25
flag_SH,304.1184545450339,5.019129661217538e-68,0.0031726697427165718,0.0037710663560091007,78,64,14
duration,300.5211337910446,3.037157850131253e-67,0.026525743265445545,0.05772699820771621,79,30,49
service_sql_net,282.5858084212552,2.4061463673264884e-63,0.0,0.0,80,114,-34
service_telnet,202.5752278291365,6.2166520869115716e-46,0.0007334567919370372,0.0029192002593596555,81,98,-17
is_guest_login,194.65364254956373,3.3079752768750844e-44,0.0016065977614778681,0.010899504127671822,82,86,-4
num_access_files,169.90231090705757,8.234787800133303e-39,0.0016075741526400122,0.0032694043671535056,83,85,-2
service_IRC,159.5214722154907,1.5149211464096688e-36,0.0009377882222825207,0.0003725364509175044,84,91,-7
service_ntp_u,146.62722399012634,9.885311221262833e-34,0.0008650372959007058,0.0008221350329757904,85,93,-8
flag_RSTOS0,118.51314012396197,1.3771034490448726e-27,8.338478540448335e-05,0.0011280159601669837,86,105,-19
service_rje,98.92398834305862,2.676291526424254e-23,0.0011097125659400575,0.0012540180805253875,87,88,-1
service_pop_2,89.70949590981064,2.8036583112345182e-21,0.0018451232828509134,0.0006039298973186114,88,80,8
service_remote_job,89.70949590981064,2.8036583112345182e-21,0.0,0.0,89,114,-25
flag_S2,82.80049332630671,9.204027403398001e-20,0.0,0.0,90,114,-24
service_printer,79.34621236562101,5.279770627729745e-19,0.0008545007910152336,0.00011017421618264578,91,94,-3
service_other,71.61589941692209,2.6418979201872415e-17,0.0,0.020407955539816225,92,114,-22
su_attempted,63.513204520790104,1.6061559421510361e-15,0.0,0.0,93,114,-21
service_shell,58.516533406145236,2.0301068034568594e-14,0.0,0.00043688644720996095,94,114,-20
num_file_creations,57.02058881583175,4.341615739995259e-14,0.001177451830290721,0.0035263832742318257,95,87,8
root_shell,51.85809179750851,5.999171265941303e-13,0.0016392286894442165,0.002955927542545922,96,84,12
service_X11,43.12881834334808,5.144998173389004e-11,0.0,0.0,97,114,-17
service_pop_3,30.72300438564447,2.9820948198997556e-08,0.000941314318833264,0.002121234175188391,98,90,8
flag_S3,29.02523492063536,7.156923475486181e-08,0.00017750463605148425,0.00016033497561762644,99,101,-2
hot,21.568263273257138,3.41799647556481e-06,0.008524605961172771,0.0235209947381958,100,36,64
num_root,16.524595098668502,4.805220482060987e-05,0.001754011189368132,0.00260966376167282,101,82,19
flag_OTH,16.146662338201114,5.8655798549524e-05,0.0008120451451611999,0.0006528281888869003,102,95,7
num_compromised,13.103099136920257,0.00029492310298299366,0.005410282915281783,0.008578344414918782,103,41,62
num_shells,11.302971319937082,0.0007740615895422851,0.0001268246424168673,0.00019578147727994377,104,103,1
service_urh_i,8.707330424522656,0.0031699132073080127,0.0,0.0,105,114,-9
service_red_i,6.965657468521995,0.008309912385383738,0.0,0.00017154259193263854,106,114,-8
land,6.513920482901555,0.010704496858566726,0.0,0.0,107,114,-7
service_pm_dump,5.743448222268726,0.01655171844029364,0.0,0.0,108,114,-6
src_bytes,4.416806410353792,0.03558856160175278,0.5650277087159612,0.7144386464704564,109,1,108
service_tftp_u,2.611927779609178,0.1060652624393973,0.0,0.0,110,114,-4
service_aol,2.2972617148533283,0.1296048116203087,0.0002381243372240327,0.0005167647069139747,111,100,11
service_http_8001,2.2972617148533283,0.1296048116203087,0.0,0.0,112,114,-2
service_harvest,2.2972617148533283,0.1296048116203087,0.0,0.00039959401838807196,113,114,-1
dst_bytes,2.135740829675743,0.14390342158480862,0.43944934063607133,0.4592811266997221,114,2,112
num_failed_logins,1.7762934960369858,0.1826075337714357,0.0006283190550173678,0.0027855541643302395,115,99,16
service_http_2784,1.148611278308428,0.2838420996812037,0.0009494825462086354,0.0008119841616545109,116,89,27
urgent,0.9784934323190497,0.3225729366446022,0.0001529698410225322,0.00021173798899010166,117,102,15
service_ftp,0.8979772818031885,0.34332647357269175,0.0,0.0036350013587123087,118,114,4
is_host_login,0.8706166900256216,0.3507864277037567,0.0,0.0,119,114,5
service_tim_i,0.2628792539333334,0.6081498324141221,0.0,0.0,120,114,6
srv_count,0.07471725513765118,0.7845888038695525,0.06491029636819334,0.16404708185054329,121,22,99
num_outbound_cmds,,,0.0007614005328253626,0.0,122,96,26
