contribution,regime,condition,metric,baseline,estimate,ci_low,ci_high,p_value,effect_size,verdict,source
C4,sample_complexity_natural,N=2000,f1_macro,RandomForest,-0.0058525161588791,-0.0254061642905882,0.0137011319728299,0.275390625,-0.2141103196374837,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=2000,f1_macro,XGBoost,-0.012882820576485,-0.0295664486999785,0.0038008075470083,0.26171875,-0.5523867230528916,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=5000,f1_macro,QSVM_Z,0.0223564648924022,0.0071575648762219,0.0375553649085824,0.005859375,1.0522374340804397,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=5000,f1_macro,SVM_Linear,0.048159371325641,0.0440430584412169,0.0522756842100652,0.005859375,8.369416959377412,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=5000,f1_macro,SVM_Poly2,0.0704313793154023,0.0644661697595073,0.0763965888712973,0.005859375,8.446236987688383,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=5000,f1_macro,SVM_RBF,0.0026050758638485,-0.006348120258398,0.0115582719860951,0.4921875,0.2081445535579205,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=5000,f1_macro,RandomForest,0.0082391521415208,0.0004464171522557,0.0160318871307859,0.064453125,0.7563370744544926,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=5000,f1_macro,XGBoost,0.0099569617346813,0.0041352214453617,0.0157787020240009,0.02734375,1.2234797475348087,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=10000,f1_macro,QSVM_Z,0.0068280951728869,-0.0079747757924826,0.0216309661382564,0.556640625,0.32997146620927,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=10000,f1_macro,SVM_Linear,0.0520621877758751,0.0431732170116073,0.0609511585401428,0.005859375,4.189804033907385,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=10000,f1_macro,SVM_Poly2,0.0741204165172001,0.0630780164839836,0.0851628165504166,0.005859375,4.801723508431573,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=10000,f1_macro,SVM_RBF,0.0115318549925098,-0.0016699558075702,0.02473366579259,0.130859375,0.624868226977937,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=10000,f1_macro,RandomForest,0.0127267239688668,0.0046509451270072,0.0208025028107263,0.0078125,1.1273401686437103,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=10000,f1_macro,XGBoost,0.014940213996021,0.004964136109832,0.0249162918822101,0.0078125,1.0713213530067978,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_matched,N=100,f1_macro,QSVM_Z,-0.0224456372530875,-0.0777707360609807,0.0328794615548055,0.76953125,-0.2902234603079975,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=100,f1_macro,SVM_Linear,0.0199500183423698,-0.0447357391221735,0.0846357758069132,1.0,0.2206263628168594,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=100,f1_macro,SVM_Poly2,0.0032146719261671,-0.0658618929650945,0.0722912368174289,1.0,0.0332911424653749,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=100,f1_macro,SVM_RBF,-0.0035673678728277,-0.0734244421338121,0.0662897063881566,1.0,-0.0365308921245571,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=100,f1_macro,RandomForest,-0.0194142243637444,-0.0723949132627102,0.0335664645352214,1.0,-0.2621351243498004,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=100,f1_macro,XGBoost,-0.0139139403258257,-0.0691158476171235,0.041287966965472,1.0,-0.1803095905512717,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=200,f1_macro,QSVM_Z,-0.0129305323512569,-0.035270796341357,0.009409731638843,0.232421875,-0.4140481786360188,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=200,f1_macro,SVM_Linear,0.0288423298919693,-0.0059714141060648,0.0636560738900036,0.31640625,0.5926555866461665,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=200,f1_macro,SVM_Poly2,0.0311113822974237,-0.0057881742395571,0.0680109388344047,0.31640625,0.6031438930289247,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=200,f1_macro,SVM_RBF,0.0119759706524993,-0.0237381298247376,0.0476900711297364,0.76953125,0.2398798569049168,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=200,f1_macro,RandomForest,0.0032041839917622,-0.0201431501894081,0.0265515181729327,1.0,0.0981754545817223,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=200,f1_macro,XGBoost,-0.0081685071178046,-0.0371252688837387,0.0207882546481295,1.0,-0.2017973565354415,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=500,f1_macro,QSVM_Z,-0.0116340178221709,-0.0374050216196811,0.0141369859753392,0.232421875,-0.3229394966012082,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=500,f1_macro,SVM_Linear,0.0202673510339058,0.0016163754755121,0.0389183265922995,0.146484375,0.7773528780006038,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=500,f1_macro,SVM_Poly2,0.0049904143423937,-0.0251993086498517,0.0351801373346393,1.0,0.118249755534471,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=500,f1_macro,SVM_RBF,-0.0012143240471885,-0.0266443348470514,0.0242156867526743,1.0,-0.0341594464933244,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=500,f1_macro,RandomForest,-0.0150121810852495,-0.034003206444557,0.0039788442740579,0.3203125,-0.5654811791271842,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=500,f1_macro,XGBoost,-0.0127775113633917,-0.0361987817432256,0.0106437590164421,0.3203125,-0.3902640995422288,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=1000,f1_macro,QSVM_Z,-0.0214506994008509,-0.0417294951191892,-0.0011719036825126,0.064453125,-0.7566971021076441,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=1000,f1_macro,SVM_Linear,0.034836391852669,0.0173283189501394,0.0523444647551986,0.029296875,1.4233693011014616,QSVM-favorable,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=1000,f1_macro,SVM_Poly2,0.0166905597323665,-0.0275381148503997,0.0609192343151328,0.46484375,0.269953989842522,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=1000,f1_macro,SVM_RBF,-0.0177282875664066,-0.049543659211186,0.0140870840783728,0.46484375,-0.3986140122221024,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=1000,f1_macro,RandomForest,-0.0189957091128904,-0.0382795465477899,0.000288128322009,0.16796875,-0.7046684428651897,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=1000,f1_macro,XGBoost,-0.0185453717151867,-0.038891050226208,0.0018003067958344,0.16796875,-0.6520578668863467,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=2000,f1_macro,QSVM_Z,-0.0310158391189468,-0.0452537900920073,-0.0167778881458863,0.001953125,-1.5583277924045589,classical-favorable,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=2000,f1_macro,SVM_Linear,0.0331252860172161,0.016883169116175,0.0493674029182573,0.017578125,1.4589478858602545,QSVM-favorable,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=2000,f1_macro,SVM_Poly2,-0.0075449100065635,-0.0323411912725322,0.017251371259405,0.322265625,-0.2176658435283159,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=2000,f1_macro,SVM_RBF,-0.0258479898639233,-0.0416576310713005,-0.010038348656546,0.017578125,-1.1695735413646855,classical-favorable,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=2000,f1_macro,RandomForest,-0.0135674936579537,-0.0312382304949777,0.0041032431790701,0.38671875,-0.5492470616502603,inconclusive,c4_pairwise_statistics_matched.csv
C4,sample_complexity_matched,N=2000,f1_macro,XGBoost,-0.0143840532815308,-0.0290233868582618,0.0002552802952002,0.38671875,-0.70288253197184,inconclusive,c4_pairwise_statistics_matched.csv
