arm,test_split,n_train,comparison,baseline,baseline_family,metric,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,verdict_uncorrected,verdict,n_runs,holm_p
tuned_per_N,full_kddtest_plus,200,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.012930532351256973,-0.008570415548919685,-0.03527079634135704,0.009409731638843094,0.232421875,0.232421875,-0.41404817863601884,0.3,inconclusive,inconclusive,10,0.232421875
tuned_per_N,full_kddtest_plus,200,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.028842329891969377,0.029383590211148225,-0.005971414106064849,0.0636560738900036,0.10546875,0.10546875,0.5926555866461665,0.8,inconclusive,inconclusive,10,0.31640625
tuned_per_N,full_kddtest_plus,200,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.031111382297423773,0.03292640974810679,-0.005788174239557152,0.0680109388344047,0.10546875,0.10546875,0.6031438930289247,0.6,inconclusive,inconclusive,10,0.31640625
tuned_per_N,full_kddtest_plus,200,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,0.01197597065249938,0.0018530583275180867,-0.02373812982473764,0.0476900711297364,0.76953125,0.76953125,0.2398798569049168,0.5,inconclusive,inconclusive,10,0.76953125
tuned_per_N,full_kddtest_plus,200,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,0.003204183991762277,0.003076344812477705,-0.020143150189408196,0.026551518172932748,0.625,0.625,0.09817545458172239,0.7,inconclusive,inconclusive,10,1.0
tuned_per_N,full_kddtest_plus,200,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.008168507117804613,-0.005156264169626168,-0.03712526888373878,0.020788254648129556,0.76953125,0.76953125,-0.20179735653544156,0.4,inconclusive,inconclusive,10,1.0
tuned_per_N,full_kddtest_plus,500,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.01163401782217095,-0.025434794795350324,-0.03740502161968118,0.014136985975339283,0.232421875,0.232421875,-0.32293949660120824,0.3,inconclusive,inconclusive,10,0.232421875
tuned_per_N,full_kddtest_plus,500,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.020267351033905846,0.0281540502213124,0.001616375475512178,0.03891832659229952,0.048828125,0.048828125,0.7773528780006038,0.7,QSVM-favorable,inconclusive,10,0.146484375
tuned_per_N,full_kddtest_plus,500,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.004990414342393767,0.001319799029296187,-0.02519930864985178,0.035180137334639316,0.76953125,0.76953125,0.118249755534471,0.5,inconclusive,inconclusive,10,1.0
tuned_per_N,full_kddtest_plus,500,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.0012143240471885531,0.006677073716767401,-0.02664433484705141,0.0242156867526743,1.0,1.0,-0.034159446493324475,0.6,inconclusive,inconclusive,10,1.0
tuned_per_N,full_kddtest_plus,500,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.015012181085249543,-0.014838949796341372,-0.034003206444557024,0.003978844274057935,0.16015625,0.16015625,-0.5654811791271842,0.3,inconclusive,inconclusive,10,0.3203125
tuned_per_N,full_kddtest_plus,500,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.01277751136339177,-0.015487765395472142,-0.036198781743225654,0.010643759016442114,0.275390625,0.275390625,-0.3902640995422288,0.3,inconclusive,inconclusive,10,0.3203125
tuned_per_N,full_kddtest_plus,1000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.021450699400850915,-0.017988530458524887,-0.041729495119189226,-0.001171903682512604,0.064453125,0.064453125,-0.7566971021076441,0.2,inconclusive,inconclusive,10,0.064453125
tuned_per_N,full_kddtest_plus,1000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.034836391852669055,0.043678966021120036,0.01732831895013945,0.05234446475519866,0.009765625,0.009765625,1.4233693011014616,0.8,QSVM-favorable,QSVM-favorable,10,0.029296875
tuned_per_N,full_kddtest_plus,1000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.01669055973236655,0.02351176778142894,-0.027538114850399732,0.06091923431513283,0.322265625,0.322265625,0.269953989842522,0.6,inconclusive,inconclusive,10,0.46484375
tuned_per_N,full_kddtest_plus,1000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.01772828756640662,-0.015791559323309334,-0.04954365921118606,0.014087084078372822,0.232421875,0.232421875,-0.3986140122221024,0.3,inconclusive,inconclusive,10,0.46484375
tuned_per_N,full_kddtest_plus,1000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.018995709112890436,-0.012376711658474315,-0.03827954654778991,0.00028812832200903263,0.083984375,0.083984375,-0.7046684428651897,0.3,inconclusive,inconclusive,10,0.16796875
tuned_per_N,full_kddtest_plus,1000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.018545371715186797,-0.012975298574618321,-0.03889105022620805,0.0018003067958344589,0.10546875,0.10546875,-0.6520578668863467,0.4,inconclusive,inconclusive,10,0.16796875
tuned_per_N,full_kddtest_plus,2000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.031015839118946842,-0.02473958332203524,-0.04525379009200735,-0.016777888145886335,0.001953125,0.001953125,-1.5583277924045587,0.0,classical-favorable,classical-favorable,10,0.001953125
tuned_per_N,full_kddtest_plus,2000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.03312528601721619,0.036764571345135055,0.01688316911617504,0.04936740291825734,0.005859375,0.005859375,1.4589478858602543,0.9,QSVM-favorable,QSVM-favorable,10,0.017578125
tuned_per_N,full_kddtest_plus,2000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,-0.007544910006563599,-0.009778218435036679,-0.032341191272532245,0.017251371259405048,0.322265625,0.322265625,-0.21766584352831594,0.3,inconclusive,inconclusive,10,0.322265625
tuned_per_N,full_kddtest_plus,2000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.025847989863923303,-0.021804886162065218,-0.04165763107130055,-0.010038348656546053,0.005859375,0.005859375,-1.1695735413646857,0.1,classical-favorable,classical-favorable,10,0.017578125
tuned_per_N,full_kddtest_plus,2000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.013567493657953778,-0.011977861497818265,-0.03123823049497775,0.004103243179070192,0.193359375,0.193359375,-0.5492470616502603,0.4,inconclusive,inconclusive,10,0.38671875
tuned_per_N,full_kddtest_plus,2000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.014384053281530817,-0.011009436318073218,-0.029023386858261835,0.0002552802952002012,0.193359375,0.193359375,-0.70288253197184,0.4,inconclusive,inconclusive,10,0.38671875
frozen_c2,fixed_300,100,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.04609499561026335,-0.029878176618696295,-0.09724574109136742,0.005055749870840717,0.10546875,0.10546875,-0.6446508869097644,0.3,inconclusive,inconclusive,10,0.10546875
