featset,model,n_train,run_id,run_seed,f1_macro,params,secs
all122,RandomForest,1000,4,103,0.7887851952855689,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",17.4
k20,XGBoost,1000,4,103,0.7355323400408713,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",7.9
k20,RandomForest,1000,4,103,0.7712178896623978,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",17.2
all122,XGBoost,2000,4,103,0.7819985454605494,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",9.5
all122,RandomForest,2000,4,103,0.7879847872626679,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",18.3
k20,XGBoost,2000,4,103,0.7466097692769308,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",8.9
k20,RandomForest,2000,4,103,0.7483027747605586,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2}",18.4
all122,XGBoost,5000,4,103,0.7705528603035658,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",12.4
all122,RandomForest,5000,4,103,0.7707769758298004,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",20.7
k20,XGBoost,5000,4,103,0.7622769966820038,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",9.8
k20,RandomForest,5000,4,103,0.7465605425832582,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",20.5
all122,XGBoost,10000,4,103,0.7806356364417244,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",15.5
all122,RandomForest,10000,4,103,0.7716787628526267,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",26.2
k20,XGBoost,10000,4,103,0.7748443221793194,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",11.7
k20,RandomForest,10000,4,103,0.7500165305107802,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2}",25.4
all122,XGBoost,100,5,104,0.7386983802627226,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",3.9
all122,RandomForest,100,5,104,0.7482507839539225,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.3
