regime,repr_mode,arm,n_train,run_id,n_rare_train,test_split,model,f1_macro,accuracy,precision_macro,recall_macro,n_rare,recall_rare,precision_rare,f1_rare,margin_signed_mean,margin_signed_std,margin_abs_mean,margin_abs_std,rare_margin_signed_mean,rare_margin_signed_std,rare_margin_abs_mean,rare_margin_abs_std
natural,refit_per_N,tuned_per_N,100,2,1,fixed_300,SVM_Linear,0.8054213633923779,0.8066666666666666,0.8481675392670157,0.8263473053892216,30,0.1,1.0,0.18181818181818182,0.6599697998798185,0.7783420556086059,0.9833230525533079,0.27285942644461186,-0.6986075693072367,0.5114859534045139,0.8446257834697487,0.1904670636136424
natural,refit_per_N,tuned_per_N,100,2,1,fixed_300,SVM_Poly2,0.7739312346053919,0.7766666666666666,0.8325,0.7994011976047903,30,0.1,1.0,0.18181818181818182,0.6823084145347137,0.8265489510743435,0.96685243481841,0.4625195242934985,-0.3029888628284185,0.6007406570208219,0.524879712711884,0.42094284075080424
natural,refit_per_N,tuned_per_N,100,2,1,fixed_300,SVM_RBF,0.8533268145250901,0.8533333333333334,0.8626262626262626,0.863671153932736,30,0.6666666666666666,1.0,0.8,0.9358240881924307,0.8864117255138334,1.1791951913696752,0.5205681240915938,0.16735153907736608,0.9044333820622957,0.7384138592484535,0.5484079254441998
natural,refit_per_N,tuned_per_N,100,2,1,fixed_300,RandomForest,0.8565885871196541,0.8566666666666667,0.8753420908593322,0.8704920985097474,30,0.43333333333333335,1.0,0.6046511627906976,0.33486666666666665,0.2767852035223142,0.409,0.14650847529523106,-0.056533333333333345,0.28205575492956864,0.22960000000000003,0.17330697235445164
natural,refit_per_N,tuned_per_N,100,2,1,fixed_300,XGBoost,0.86,0.86,0.8711899509252172,0.8711899509252172,30,0.4666666666666667,1.0,0.6363636363636364,0.341433141430219,0.2904307239462153,0.43399838586648304,0.11212491491242232,-0.021755075454711913,0.31388812658628673,0.27551860014597573,0.15194913719232137
natural,refit_per_N,tuned_per_N,100,2,1,full_kddtest_plus,QSVM_ZZ,0.7684497399550496,0.7684528034066714,0.7823999211727621,0.7829648059336392,2952,0.5877371273712737,1.0,0.7403456368679325,0.4683126203699348,0.5346201542232791,0.6094516963806689,0.36565564330145695,0.021427935491806688,0.35065662248484275,0.29599911060126344,0.18921878827214686
natural,refit_per_N,tuned_per_N,100,2,1,full_kddtest_plus,QSVM_Z,0.8133880612524443,0.8134315117104329,0.8246922493186346,0.8271820836866338,2952,0.5369241192411924,1.0,0.6986995812210712,0.5900958883338526,0.5852028332088576,0.7586764017892297,0.3392427313773134,0.14334200318499507,0.6010579167322643,0.4775684173831499,0.39210452160332226
natural,refit_per_N,tuned_per_N,100,2,1,full_kddtest_plus,SVM_Linear,0.7652741470454647,0.7667672107877928,0.8154098122460751,0.7930206500956423,2952,0.049796747967479675,1.0,0.09486931268151017,0.5671173184741508,0.7992103331972294,0.9307843138030107,0.3065938205195865,-0.7368157175722728,0.3702048577857241,0.8031573081549649,0.18678162850495333
natural,refit_per_N,tuned_per_N,100,2,1,full_kddtest_plus,SVM_Poly2,0.7080415792302701,0.7137597586941093,0.7942330489477847,0.7474756013345812,2952,0.0494579945799458,1.0,0.09425435765009683,0.5006464750037356,0.8786678081006748,0.8854576829957173,0.48853730824775926,-0.3455862171592659,0.4791324228468948,0.44077267949120214,0.3933410188725972
natural,refit_per_N,tuned_per_N,100,2,1,full_kddtest_plus,SVM_RBF,0.7855034438347135,0.7856635911994322,0.7935316810113655,0.7971676871867364,2952,0.6016260162601627,1.0,0.751269035532995,0.7694932372029436,0.9508744684826007,1.1141968938135554,0.5048241067236775,0.10789084531705412,0.8433649965362786,0.7082186590942433,0.4704585877594518
