regime,n_train,model,f1_rare,recall_rare,precision_rare,margin_signed_mean,margin_signed_std,margin_abs_mean,margin_abs_std,d_signed_vs_ZZ,d_absmargin_vs_ZZ,delta_f1_rare,ci_low,ci_high,wilcoxon_p,dz_f1_rare,verdict
matched,500,XGBoost,0.47401948905592367,0.31578590785907856,1.0,-0.1481585201824987,0.345426030410999,0.361000675755505,0.12389287094101557,0.029685990829381087,1.1638304081366324,0.10320403599758037,0.004932403517673989,0.20147566847748674,0.048828125,0.7512617630526262,QSVM-favorable
matched,1000,QSVM_ZZ,0.632250689788417,0.47046070460704603,1.0,-0.08782208544547525,0.9622027629982479,0.8479744976647906,0.4805863504658663,,,,,,,,
matched,1000,QSVM_Z,0.7155223576512313,0.5712737127371275,1.0,0.06080732048741063,0.9998839423551253,0.879627269980371,0.5414055187572805,-0.15585105496099114,-0.07604682419912431,-0.08327166786281426,-0.15908135068435647,-0.0074619850412720595,0.048828125,-0.7857698444351283,classical-favorable
matched,1000,SVM_Linear,0.5764638822642402,0.42737127371273714,1.0,-0.22878003664075405,0.8710746873907447,0.8451369657417199,0.4511220052442697,0.14641591419720373,0.0669708648477964,0.05578680752417684,-0.09794083919529895,0.20951445424365261,0.921875,0.2595985749869692,inconclusive
matched,1000,SVM_Poly2,0.6162929160578865,0.49278455284552836,1.0,-0.07599619700675928,0.5429908390441982,0.579262298410434,0.2641995086803642,-0.03274845608355066,0.6852451707244039,0.015957773730530485,-0.13281759393615836,0.1647331413972193,0.6953125,0.0767297962094581,inconclusive
matched,1000,SVM_RBF,0.6267204816423331,0.47560975609756106,1.0,-0.07840539276305655,0.9302217215343358,0.8126083550662354,0.5267753861514318,-0.0005790352283991552,0.02825948079254608,0.005530208146083976,-0.11133818740364879,0.12239860369581673,1.0,0.033850662278262486,inconclusive
matched,1000,RandomForest,0.5085910631506103,0.34163279132791324,1.0,-0.11316755763725209,0.30796590204847035,0.2953908150787387,0.14384763688531688,0.03374066609437994,1.5420330620596319,0.12365962663780676,0.0362820671200005,0.211037186155613,0.01953125,1.0123968716141818,QSVM-favorable
matched,1000,XGBoost,0.5145011554137687,0.3470528455284553,1.0,-0.13056648499900242,0.36541449924543457,0.3652721893526916,0.13446365768230448,0.056727082781097546,1.3453380718122587,0.11774953437464837,0.023595424637073564,0.21190364411222318,0.01953125,0.8946284216855527,QSVM-favorable
matched,2000,QSVM_ZZ,0.6849960200014986,0.5244241192411925,1.0,-0.049809371221305396,0.995796048149655,0.8782760260224007,0.486552263884051,,,,,,,,
matched,2000,QSVM_Z,0.762765248015442,0.6185975609756097,1.0,0.17305552754564718,0.9692424901490977,0.8749618900040896,0.4598588028765847,-0.22237146462869198,-0.013349243292230917,-0.0777692280139433,-0.13182237592887708,-0.02371608009900951,0.005859375,-1.0292232085970965,classical-favorable
