ece_full,ece_rare,brier_full,brier_rare,auc_pr,f1,run_id,model,n_qubits,n_train,n_test,n_rare
0.1226781291265028,0.13045874349367306,0.16107134349867247,0.059697206901413634,0.9135815582008896,0.7839320952612656,7,MLP,4,1000,82332,1682
0.20331701893709028,0.09798814428950901,0.22094618647833303,0.06979867356110932,0.9113088342030339,0.7888843844713422,7,XGBoost,4,1000,82332,1682
0.15160122591822842,0.12278822196544288,0.20629851927899234,0.03940395415581375,0.7606672921437501,0.7885467414284402,7,QSVM,6,1000,82332,1682
0.1600695933340197,0.1852474838050759,0.20607741367302937,0.045063075566990546,0.7875925486273424,0.7744577555796165,7,SVM-RBF,6,1000,82332,1682
0.2374554264516311,0.07989467708626365,0.24235637391809056,0.0700589583608855,0.9071963132821067,0.7929110600590745,7,RandomForest,6,1000,82332,1682
0.13545416255205908,0.09995060121221122,0.1671814362946843,0.03885445562994241,0.917730627669221,0.793064980942642,7,MLP,6,1000,82332,1682
0.22257501357531412,0.09832280823784878,0.23968298063352775,0.08604960658594403,0.9125835847351609,0.7898998693948629,7,XGBoost,6,1000,82332,1682
0.14457988762522425,0.15315545891524227,0.2002819214867164,0.05005950670908767,0.8626751366628627,0.77435112815219,8,QSVM,4,1000,82332,1682
0.14076339010236286,0.19960643691152213,0.18675034162368306,0.05643444233771281,0.8849783485786382,0.762324717013009,8,SVM-RBF,4,1000,82332,1682
0.22946909784479227,0.08487656994978489,0.24140573452953074,0.06607438923034027,0.9061084110206381,0.7891687223911422,8,RandomForest,4,1000,82332,1682
0.11658885583939137,0.12662435014158716,0.15834791197751075,0.05332473236592539,0.914232072696644,0.7854325768168944,8,MLP,4,1000,82332,1682
0.21803206733431185,0.07211993949502567,0.2305312816655171,0.05189646202487842,0.9089286548021611,0.7855628770657689,8,XGBoost,4,1000,82332,1682
0.18708224041479107,0.10745183698930819,0.21879478502723074,0.054656866281563084,0.8267044039474022,0.7694094377455384,8,QSVM,6,1000,82332,1682
0.15730275984104028,0.19796841685103359,0.1906533831475047,0.05645002918757263,0.8972434336432102,0.7751922872434693,8,SVM-RBF,6,1000,82332,1682
0.22367662344639205,0.08775647622086391,0.2364165344227706,0.07251995416898636,0.9090905535434467,0.7889941761008707,8,RandomForest,6,1000,82332,1682
0.12739777645129194,0.11092228159554088,0.17033703036789577,0.04931097452037319,0.9122231310001481,0.7857211826275032,8,MLP,6,1000,82332,1682
0.23811859557276369,0.07548375208559556,0.2466759650724478,0.06823695508602998,0.9102312108475301,0.7860804092861624,8,XGBoost,6,1000,82332,1682
0.15247279877660785,0.12996864546574347,0.17988218297898628,0.03483770408220033,0.9028700292277037,0.7931139005777049,9,QSVM,4,1000,82332,1682
0.13406942505105646,0.10912158950942226,0.18058706493161816,0.028517297862029455,0.8815030824248399,0.7757426212394419,9,SVM-RBF,4,1000,82332,1682
0.22304892124446868,0.06910946560521485,0.2339284073382781,0.060283717229128876,0.9001741127541176,0.7976097484768006,9,RandomForest,4,1000,82332,1682
0.12094726625091841,0.09835984587068058,0.16166832948348048,0.03611876261412647,0.9142941455213304,0.7885820708427349,9,MLP,4,1000,82332,1682
0.21002807660055792,0.0743478097031789,0.2216134404558982,0.05751741049773781,0.913674933640827,0.7926783932379816,9,XGBoost,4,1000,82332,1682
0.14833005953571474,0.1419645476434303,0.20128786886778693,0.037581156762611805,0.8154947789274207,0.7842352092352093,9,QSVM,6,1000,82332,1682
