n,run_id,kernel,f1_macro,kta,offdiag_mean,offdiag_std
8,4,Z,0.8432479905726451,0.17451031722125734,0.20014991199521084,0.26488327612951706
8,5,ZZ,0.7927438045997504,0.16479997874721403,0.027372902465143206,0.12382565969852773
8,5,Z,0.8059681520139168,0.17085142770940195,0.18446630872444772,0.25841552726734013
8,6,ZZ,0.813034188034188,0.18035356939121322,0.03217033160015328,0.13949153652511118
8,6,Z,0.8365776922991406,0.17162302792033404,0.18699770863087742,0.2586626395456331
8,7,ZZ,0.8398861412560042,0.17718221117932914,0.031011277440519555,0.1355226752905162
8,7,Z,0.84998499849985,0.18050500765338873,0.19460306210639722,0.26369219889463946
8,8,ZZ,0.7898856043846094,0.17634018821981365,0.030295865085358413,0.1332873447645676
8,8,Z,0.7994294883223391,0.17972616021063384,0.18929930525940397,0.26102492163130897
8,9,ZZ,0.8233156648998233,0.1753919728184493,0.030466664934207795,0.1345854914456907
8,9,Z,0.8164198533584041,0.18053453413490236,0.18480320863230876,0.26053411706114005
8,10,ZZ,0.846496106785317,0.18468254853242502,0.033831664578781305,0.1433244883154922
8,10,Z,0.8765555666766757,0.17915897866140967,0.19735469228774977,0.2665921494322178
9,1,ZZ,0.8598442714126808,0.17636212490765332,0.028003920621618737,0.1353356955887508
9,1,Z,0.8365195342474894,0.18292260224220463,0.17367698299548753,0.255222792923223
9,2,ZZ,0.7780667144906743,0.1812340386670086,0.026225735257622892,0.12589879745497246
9,2,Z,0.8431922063190205,0.18822441996290457,0.1705782960240863,0.2559634096951019
9,3,ZZ,0.7788104919790875,0.17053516777285846,0.024548019260531465,0.1232469462676955
9,3,Z,0.7997775305895439,0.18191317196058915,0.1720128609791105,0.25191786701151087
9,4,ZZ,0.7826353512947131,0.17716226809344068,0.026293299499737112,0.12789254026952834
9,4,Z,0.8399359743897559,0.18187940484056042,0.1812046537414224,0.2588565096693223
9,5,ZZ,0.7992773986350863,0.1598978634038791,0.022682083890828743,0.11590978184105837
9,5,Z,0.8262883613202086,0.17579793260072438,0.16672693217784393,0.2508286102138436
9,6,ZZ,0.8165667974786273,0.1765074859854708,0.02741174495544219,0.1318990746524272
9,6,Z,0.8299829982998299,0.1768046478005841,0.16912260701344584,0.25232011139879695
9,7,ZZ,0.8531701890989989,0.1729675253916053,0.026390456669376436,0.12807447139781133
9,7,Z,0.8599937775012223,0.18716283359467836,0.17651332010864126,0.25705797663034924
9,8,ZZ,0.7891542743671839,0.1714725840403281,0.025524052508654495,0.1255684972534429
9,8,Z,0.7961570593149541,0.18367996794779431,0.17194646194514984,0.25465522646220423
9,9,ZZ,0.856626840789108,0.1715821721877013,0.02579301122742679,0.12719076908672017
9,9,Z,0.8466394025604552,0.18490088851589315,0.16785383550505034,0.2539411826252363
9,10,ZZ,0.8466053087901828,0.18088654504938514,0.02906638863125861,0.1357015638567462
9,10,Z,0.8931623931623931,0.1841786783931378,0.17977952731376765,0.26065187968451153
10,1,ZZ,0.8927566021716788,0.16640701742536826,0.024184966619500516,0.12702618159280987
10,1,Z,0.8198719089130049,0.18317702119987747,0.16631044958481708,0.25181469969174053
10,2,ZZ,0.764616212338594,0.1688748942929766,0.02190428322239654,0.11575596781439544
10,2,Z,0.8332666399893291,0.18863631823953592,0.1630671410476666,0.25213360562621295
