comparison,regime,condition,comparison_baseline,baseline,baseline_family,family,is_primary_family,metric,comparison_role,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,positive_fraction,verdict_uncorrected,verdict,n_runs,delta,effect_size,holm_p,holm_significant
QSVM_ZZ_vs_RandomForest,perturbation,all_sigma_slope,RandomForest,RandomForest,strong_tabular,strong_tabular,True,slope_advantage,inferential,-0.863766977222974,-0.8524569566587693,-1.0017520077296262,-0.7257819467163218,0.001953125,0.001953125,-4.47803410306409,0.0,0.0,classical-favorable,classical-favorable,10,-0.863766977222974,-4.47803410306409,0.00390625,True
QSVM_ZZ_vs_XGBoost,perturbation,all_sigma_slope,XGBoost,XGBoost,strong_tabular,strong_tabular,True,slope_advantage,inferential,-0.6806625324658568,-0.6104923829829426,-0.8668651656894953,-0.49445989924221834,0.001953125,0.001953125,-2.6149825854618958,0.0,0.0,classical-favorable,classical-favorable,10,-0.6806625324658568,-2.6149825854618958,0.00390625,True
QSVM_ZZ_vs_QSVM_Z,prior_shift,attack_30pct,QSVM_Z,QSVM_Z,entanglement,entanglement,True,f1_advantage,inferential,0.014807709512769019,0.023235296715925557,-0.0001822315958118978,0.029797650621349935,0.083984375,0.083984375,0.7066603654476508,0.8,0.8,inconclusive,inconclusive,10,0.014807709512769019,0.7066603654476508,0.083984375,False
QSVM_ZZ_vs_SVM_Linear,prior_shift,attack_30pct,SVM_Linear,SVM_Linear,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.03030874309427989,0.02431442357003366,0.01196873516331376,0.04864875102524602,0.009765625,0.009765625,1.182200616593592,0.8,0.8,QSVM-favorable,QSVM-favorable,10,0.03030874309427989,1.182200616593592,0.029296875,True
QSVM_ZZ_vs_SVM_Poly2,prior_shift,attack_30pct,SVM_Poly2,SVM_Poly2,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.011566916214075329,0.01065736457780192,-0.004172701523085779,0.027306533951236438,0.10546875,0.10546875,0.5257099335513928,0.8,0.8,inconclusive,inconclusive,10,0.011566916214075329,0.5257099335513928,0.2109375,False
QSVM_ZZ_vs_SVM_RBF,prior_shift,attack_30pct,SVM_RBF,SVM_RBF,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.014684292528030884,0.008807421232225277,-0.004008274881072745,0.03337685993713452,0.10546875,0.10546875,0.5619618664241907,0.8,0.8,inconclusive,inconclusive,10,0.014684292528030884,0.5619618664241907,0.2109375,False
QSVM_ZZ_vs_RandomForest,prior_shift,attack_30pct,RandomForest,RandomForest,strong_tabular,strong_tabular,True,f1_advantage,inferential,-0.009009266284779171,-0.006484009198206464,-0.024296477646134115,0.006277945076575772,0.275390625,0.275390625,-0.421583812924627,0.3,0.3,inconclusive,inconclusive,10,-0.009009266284779171,-0.421583812924627,0.38671875,False
QSVM_ZZ_vs_XGBoost,prior_shift,attack_30pct,XGBoost,XGBoost,strong_tabular,strong_tabular,True,f1_advantage,inferential,-0.00909013651283006,-0.009011078866124567,-0.02329757798180916,0.0051173049561490415,0.193359375,0.193359375,-0.4576961970969859,0.4,0.4,inconclusive,inconclusive,10,-0.00909013651283006,-0.4576961970969859,0.38671875,False
QSVM_ZZ_vs_QSVM_Z,prior_shift,attack_50pct,QSVM_Z,QSVM_Z,entanglement,entanglement,True,f1_advantage,inferential,0.02372966238759039,0.030619630091948236,0.007856343533523238,0.03960298124165754,0.013671875,0.013671875,1.0694157927398449,0.8,0.8,QSVM-favorable,QSVM-favorable,10,0.02372966238759039,1.0694157927398449,0.013671875,True
QSVM_ZZ_vs_SVM_Linear,prior_shift,attack_50pct,SVM_Linear,SVM_Linear,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.022192531862537435,0.021934785610718655,0.0041267161689008715,0.040258347556173996,0.037109375,0.037109375,0.8787635830262781,0.8,0.8,QSVM-favorable,inconclusive,10,0.022192531862537435,0.8787635830262781,0.111328125,False
QSVM_ZZ_vs_SVM_Poly2,prior_shift,attack_50pct,SVM_Poly2,SVM_Poly2,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.02323414399646164,0.02661490157080193,0.0023159423092067102,0.04415234568371657,0.048828125,0.048828125,0.7945570853121208,0.7,0.7,QSVM-favorable,inconclusive,10,0.02323414399646164,0.7945570853121208,0.111328125,False
QSVM_ZZ_vs_SVM_RBF,prior_shift,attack_50pct,SVM_RBF,SVM_RBF,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.0068250743785400305,0.0036491110037686902,-0.012006457782126171,0.02565660653920623,0.322265625,0.322265625,0.2592653666689203,0.7,0.7,inconclusive,inconclusive,10,0.0068250743785400305,0.2592653666689203,0.322265625,False
QSVM_ZZ_vs_RandomForest,prior_shift,attack_50pct,RandomForest,RandomForest,strong_tabular,strong_tabular,True,f1_advantage,inferential,-0.013724827795647232,-0.019814887414828786,-0.027238562509792823,-0.00021109308150164124,0.048828125,0.048828125,-0.7265312332082232,0.2,0.2,classical-favorable,inconclusive,10,-0.013724827795647232,-0.7265312332082232,0.09765625,False
QSVM_ZZ_vs_XGBoost,prior_shift,attack_50pct,XGBoost,XGBoost,strong_tabular,strong_tabular,True,f1_advantage,inferential,-0.015232604146040917,-0.018958269921420023,-0.028310819718830663,-0.002154388573251174,0.048828125,0.048828125,-0.8331984215590187,0.3,0.3,classical-favorable,inconclusive,10,-0.015232604146040917,-0.8331984215590187,0.09765625,False
QSVM_ZZ_vs_QSVM_Z,prior_shift,attack_70pct,QSVM_Z,QSVM_Z,entanglement,entanglement,True,f1_advantage,inferential,0.036735961959155364,0.03668471238109233,0.016960664638762397,0.05651125927954833,0.005859375,0.005859375,1.3288965348959176,0.9,0.9,QSVM-favorable,QSVM-favorable,10,0.036735961959155364,1.3288965348959176,0.005859375,True
QSVM_ZZ_vs_SVM_Linear,prior_shift,attack_70pct,SVM_Linear,SVM_Linear,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.023070564496824007,0.02279489762740028,0.0007802692975565767,0.04536085969609144,0.064453125,0.064453125,0.7403978947032903,0.8,0.8,inconclusive,inconclusive,10,0.023070564496824007,0.7403978947032903,0.12890625,False
QSVM_ZZ_vs_SVM_Poly2,prior_shift,attack_70pct,SVM_Poly2,SVM_Poly2,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.029055410239270718,0.027243883808883873,0.0031958365965657452,0.05491498388197569,0.037109375,0.037109375,0.8037637688141124,0.9,0.9,QSVM-favorable,inconclusive,10,0.029055410239270718,0.8037637688141124,0.111328125,False
QSVM_ZZ_vs_SVM_RBF,prior_shift,attack_70pct,SVM_RBF,SVM_RBF,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.0032670983476713045,0.008984859978423687,-0.020401676212599685,0.026935872907942294,0.4921875,0.4921875,0.09874365737010948,0.6,0.6,inconclusive,inconclusive,10,0.0032670983476713045,0.09874365737010948,0.4921875,False
QSVM_ZZ_vs_RandomForest,prior_shift,attack_70pct,RandomForest,RandomForest,strong_tabular,strong_tabular,True,f1_advantage,inferential,-0.01609711102601531,-0.015447871619630738,-0.03767892689190138,0.005484704839870763,0.16015625,0.16015625,-0.5335593450745223,0.3,0.3,inconclusive,inconclusive,10,-0.01609711102601531,-0.5335593450745223,0.16015625,False
QSVM_ZZ_vs_XGBoost,prior_shift,attack_70pct,XGBoost,XGBoost,strong_tabular,strong_tabular,True,f1_advantage,inferential,-0.025332612619546523,-0.0190108032556503,-0.042412844909284486,-0.008252380329808559,0.013671875,0.013671875,-1.0609843634859604,0.1,0.1,classical-favorable,classical-favorable,10,-0.025332612619546523,-1.0609843634859604,0.02734375,True
QSVM_ZZ_vs_QSVM_Z,attack_composition,normal50_dos50,QSVM_Z,QSVM_Z,entanglement,entanglement,True,f1_advantage,inferential,0.05344292955506441,0.0577590955079737,0.0346013233862506,0.07228453572387822,0.001953125,0.001953125,2.029061025420559,1.0,1.0,QSVM-favorable,QSVM-favorable,10,0.05344292955506441,2.029061025420559,0.001953125,True
QSVM_ZZ_vs_SVM_Linear,attack_composition,normal50_dos50,SVM_Linear,SVM_Linear,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.06500424695668582,0.06108148720516071,0.04962444943348079,0.08038404447989085,0.001953125,0.001953125,3.0235272544307357,1.0,1.0,QSVM-favorable,QSVM-favorable,10,0.06500424695668582,3.0235272544307357,0.005859375,True
QSVM_ZZ_vs_SVM_Poly2,attack_composition,normal50_dos50,SVM_Poly2,SVM_Poly2,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.04893815984367668,0.047554875253434936,0.0310808498189448,0.06679546986840856,0.001953125,0.001953125,1.9604436817219346,1.0,1.0,QSVM-favorable,QSVM-favorable,10,0.04893815984367668,1.9604436817219346,0.005859375,True
QSVM_ZZ_vs_SVM_RBF,attack_composition,normal50_dos50,SVM_RBF,SVM_RBF,classical_kernel,classical_kernel,True,f1_advantage,inferential,0.03808866109918552,0.04568007498503329,0.020670575329799382,0.055506746868571655,0.005859375,0.005859375,1.5642928343504225,0.9,0.9,QSVM-favorable,QSVM-favorable,10,0.03808866109918552,1.5642928343504225,0.005859375,True
QSVM_ZZ_vs_RandomForest,attack_composition,normal50_dos50,RandomForest,RandomForest,strong_tabular,strong_tabular,True,f1_advantage,inferential,0.0014433514959512395,-0.007338742499375384,-0.015578654127320327,0.018465357119222807,0.6953125,0.6953125,0.060657450317471814,0.3,0.3,inconclusive,inconclusive,10,0.0014433514959512395,0.060657450317471814,1.0,False
QSVM_ZZ_vs_XGBoost,attack_composition,normal50_dos50,XGBoost,XGBoost,strong_tabular,strong_tabular,True,f1_advantage,inferential,0.0006780250483026662,-0.0013842041574834152,-0.012909772020943388,0.01426582211754872,0.921875,0.921875,0.03569599238674109,0.4,0.4,inconclusive,inconclusive,10,0.0006780250483026662,0.03569599238674109,1.0,False
