run,kernel,C,f1,f1_macro,balanced_accuracy,precision,recall,accuracy,tn,fp,fn,tp,degenerate
1,linear,31.6227766017,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,56.234132519,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,linear,100.0,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,poly,0.001,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,poly,0.0017782794,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,poly,0.0031622777,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,poly,0.0056234133,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,poly,0.01,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,poly,0.0177827941,0.8,0.5,0.5555555555555556,0.6666666666666666,1.0,0.68,4,32,0,64,False
1,poly,0.0316227766,0.8,0.5,0.5555555555555556,0.6666666666666666,1.0,0.68,4,32,0,64,False
1,poly,0.0562341325,0.8,0.5,0.5555555555555556,0.6666666666666666,1.0,0.68,4,32,0,64,False
1,poly,0.1,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,poly,0.177827941,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,poly,0.316227766,0.8050314465408805,0.5244669427826354,0.5694444444444444,0.6736842105263158,1.0,0.69,5,31,0,64,False
1,poly,0.5623413252,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,poly,1.0,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,poly,1.77827941,0.8050314465408805,0.5244669427826354,0.5694444444444444,0.6736842105263158,1.0,0.69,5,31,0,64,False
1,poly,3.1622776602,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,poly,5.6234132519,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
